GENE_id	mapped_id	type	SLGNN	mask_08	mask_05	in_pairs_08	in_pairs_05	EdgeScore	source	target	left_side	right_side	mapped_id_left	mapped_id_right	node1_slgnn_name	node1_genename	node1_entity_ID	node1_mapped_index	node2_slgnn_name	node2_genename	node2_entity_ID	node2_mapped_index
ENSG00000000003	0	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000003	ENSG00000000003	0	0	TSPAN6	TSPAN6	39122.0	21909.0	TSPAN6	TSPAN6	39122.0	21909.0
ENSG00000000005	1	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000005	ENSG00000000005	1	1	TNMD	TNMD	27092.0	15207.0	TNMD	TNMD	27092.0	15207.0
ENSG00000000419	2	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000419	ENSG00000000419	2	2	DPM1	DPM1	93397.0	52327.0	DPM1	DPM1	93397.0	52327.0
ENSG00000000457	3	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000457	ENSG00000000457	3	3	SCYL3	SCYL3	27910.0	15649.0	SCYL3	SCYL3	27910.0	15649.0
ENSG00000000460	4	non_essential	0.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000460	ENSG00000000460	4	4								
ENSG00000000938	5	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000938	ENSG00000000938	5	5	FGR	FGR	89816.0	50347.0	FGR	FGR	89816.0	50347.0
ENSG00000000971	6	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000000971	ENSG00000000971	6	6	CFH	CFH	96064.0	53816.0	CFH	CFH	96064.0	53816.0
ENSG00000001036	7	non_essential	1.0	individual_genes	individual_genes	SNL_train	SNL_test			0.0	ENSG00000001036	ENSG00000001036	7	7	FUCA2	FUCA2	23138.0	12966.0	FUCA2	FUCA2	23138.0	12966.0
ENSG00000001084	8	non_essential	1.0	individual_genes	individual_genes	SNL_test	SNL_test			0.0	ENSG00000001084	ENSG00000001084	8	8	GCLC	GCLC	46486.0	26057.0	GCLC	GCLC	46486.0	26057.0
ENSG00000001167	9	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001167	ENSG00000001167	9	9	NFYA	NFYA	33922.0	18999.0	NFYA	NFYA	33922.0	18999.0
ENSG00000001460	10	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001460	ENSG00000001460	10	10	STPG1	STPG1	32880.0	18451.0	STPG1	STPG1	32880.0	18451.0
ENSG00000001461	11	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001461	ENSG00000001461	11	11	NIPAL3	NIPAL3	67626.0	37884.0	NIPAL3	NIPAL3	67626.0	37884.0
ENSG00000001497	12	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001497	ENSG00000001497	12	12	LAS1L	LAS1L	66550.0	37290.0	LAS1L	LAS1L	66550.0	37290.0
ENSG00000001561	13	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001561	ENSG00000001561	13	13	ENPP4	ENPP4	31355.0	17599.0	ENPP4	ENPP4	31355.0	17599.0
ENSG00000001617	14	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001617	ENSG00000001617	14	14	SEMA3F	SEMA3F	9406.0	5310.0	SEMA3F	SEMA3F	9406.0	5310.0
ENSG00000001626	15	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001626	ENSG00000001626	15	15	CFTR	CFTR	48916.0	27412.0	CFTR	CFTR	48916.0	27412.0
ENSG00000001629	16	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001629	ENSG00000001629	16	16	ANKIB1	ANKIB1	45652.0	25587.0	ANKIB1	ANKIB1	45652.0	25587.0
ENSG00000001630	17	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001630	ENSG00000001630	17	17	CYP51A1	CYP51A1	39003.0	21841.0	CYP51A1	CYP51A1	39003.0	21841.0
ENSG00000001631	18	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000001631	ENSG00000001631	18	18	KRIT1	KRIT1	30664.0	17182.0	KRIT1	KRIT1	30664.0	17182.0
ENSG00000002016	19	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002016	ENSG00000002016	19	19	RAD52	RAD52	91623.0	51352.0	RAD52	RAD52	91623.0	51352.0
ENSG00000002330	20	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002330	ENSG00000002330	20	20	BAD	BAD	39173.0	21935.0	BAD	BAD	39173.0	21935.0
ENSG00000002549	21	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002549	ENSG00000002549	21	21	LAP3	LAP3	67461.0	37795.0	LAP3	LAP3	67461.0	37795.0
ENSG00000002586	22	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002586	ENSG00000002586	22	22	CD99	CD99	35410.0	19851.0	CD99	CD99	35410.0	19851.0
ENSG00000002587	23	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002587	ENSG00000002587	23	23	HS3ST1	HS3ST1	71440.0	40021.0	HS3ST1	HS3ST1	71440.0	40021.0
ENSG00000002726	24	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002726	ENSG00000002726	24	24	AOC1	AOC1	29931.0	16759.0	AOC1	AOC1	29931.0	16759.0
ENSG00000002745	25	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002745	ENSG00000002745	25	25	WNT16	WNT16	20335.0	11385.0	WNT16	WNT16	20335.0	11385.0
ENSG00000002746	26	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002746	ENSG00000002746	26	26	HECW1	HECW1	49345.0	27663.0	HECW1	HECW1	49345.0	27663.0
ENSG00000002822	27	non_essential	1.0	individual_genes	individual_genes	SNL_train	SNL_test			0.0	ENSG00000002822	ENSG00000002822	27	27	MAD1L1	MAD1L1	63145.0	35396.0	MAD1L1	MAD1L1	63145.0	35396.0
ENSG00000002834	28	non_essential	1.0	individual_genes	individual_genes	SNL_train	SNL_train			0.0	ENSG00000002834	ENSG00000002834	28	28	LASP1	LASP1	50931.0	28540.0	LASP1	LASP1	50931.0	28540.0
ENSG00000002919	29	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000002919	ENSG00000002919	29	29	SNX11	SNX11	34407.0	19296.0	SNX11	SNX11	34407.0	19296.0
ENSG00000002933	30	non_essential	1.0	individual_genes	individual_genes	SNL_test	SNL_test			0.0	ENSG00000002933	ENSG00000002933	30	30	TMEM176A	TMEM176A	14353.0	8056.0	TMEM176A	TMEM176A	14353.0	8056.0
ENSG00000003056	31	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000003056	ENSG00000003056	31	31	M6PR	M6PR	78554.0	44019.0	M6PR	M6PR	78554.0	44019.0
ENSG00000003096	32	non_essential	1.0	individual_genes	individual_genes	non_sampled	non_sampled			0.0	ENSG00000003096	ENSG00000003096	32	32	KLHL13	KLHL13	90700.0	50841.0	KLHL13	KLHL13	90700.0	50841.0
