ENSG_ID	HGNC_ID	GeneName	GeneSynonym	NCBI_ID
ENSG00000121410	HGNC:5	A1BG	NaN	1
ENSG00000148584	HGNC:24086	A1CF	ACF	29974
ENSG00000148584	HGNC:24086	A1CF	ACF64	29974
ENSG00000148584	HGNC:24086	A1CF	ACF65	29974
ENSG00000148584	HGNC:24086	A1CF	APOBEC1CF	29974
ENSG00000148584	HGNC:24086	A1CF	ASP	29974
ENSG00000175899	HGNC:7	A2M	CPAMD5	2
ENSG00000175899	HGNC:7	A2M	FWP007	2
ENSG00000175899	HGNC:7	A2M	S863-7	2
ENSG00000166535	HGNC:23336	A2ML1	CPAMD9	144568
ENSG00000166535	HGNC:23336	A2ML1	FLJ25179	144568
ENSG00000166535	HGNC:23336	A2ML1	p170	144568
ENSG00000184389	HGNC:30005	A3GALT2	A3GALT2P	127550
ENSG00000184389	HGNC:30005	A3GALT2	IGB3S	127550
ENSG00000184389	HGNC:30005	A3GALT2	IGBS3S	127550
ENSG00000128274	HGNC:18149	A4GALT	A14GALT	53947
ENSG00000128274	HGNC:18149	A4GALT	Gb3S	53947
ENSG00000128274	HGNC:18149	A4GALT	P(k)	53947
ENSG00000128274	HGNC:18149	A4GALT	P1	53947
ENSG00000118017	HGNC:17968	A4GNT	alpha4GnT	51146
ENSG00000094914	HGNC:13666	AAAS	NaN	8086
ENSG00000081760	HGNC:21298	AACS	ACSF1	65985
ENSG00000081760	HGNC:21298	AACS	FLJ12389	65985
ENSG00000081760	HGNC:21298	AACS	SUR-5	65985
ENSG00000114771	HGNC:17	AADAC	CES5A1	13
ENSG00000114771	HGNC:17	AADAC	DAC	13
ENSG00000197953	HGNC:24427	AADACL2	MGC72001	344752
ENSG00000188984	HGNC:32037	AADACL3	OTTHUMG00000001887	126767
ENSG00000204518	HGNC:32038	AADACL4	OTTHUMG00000001889	343066
ENSG00000109576	HGNC:17929	AADAT	KAT2	51166
ENSG00000109576	HGNC:17929	AADAT	KATII	51166
