node1_ID	node1_name	node1_type	node2_ID	node2_name	node2_type	EdgeType	EdgeScore	EdgeDirection	cell	source
ENSG00000126950	TMEM35A	GENE	ENSG00000171862	PTEN	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000126950	TMEM35A	GENE	ENSG00000139618	BRCA2	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000176194	CIDEA	GENE	ENSG00000159593	NAE1	GENE	SL	0.5	child-child	A375	GenomeRNAi
ENSG00000112214	FHL5	GENE	ENSG00000082556	OPRK1	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000112214	FHL5	GENE	ENSG00000106128	GHRHR	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000112214	FHL5	GENE	ENSG00000081800	SLC13A1	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000134285	FKBP11	GENE	ENSG00000198400	NTRK1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000165731	RET	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000134853	PDGFRA	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000175003	SLC22A1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000229314	ORM1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000095303	PTGS1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000112499	SLC22A2	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000113721	PDGFRB	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000157404	KIT	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000108854	SMURF2	GENE	ENSG00000141510	TP53	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000214046	SMIM7	GENE	ENSG00000159593	NAE1	GENE	SL	0.629	child-child	A375;A375;A375;A375	GenomeRNAi
ENSG00000172830	SSH3	GENE	ENSG00000182704	TSKU	GENE	SL	0.2	child-child		Computational Prediction
ENSG00000041357	PSMA4	GENE	ENSG00000099956	SMARCB1	GENE	SL	0.1775	child-child	cancer_D009369	Text Mining
ENSG00000041357	PSMA4	GENE	ENSG00000133703	KRAS	GENE	SL	0.6	child-child	COAD	Text Mining
ENSG00000041357	PSMA4	GENE	ENSG00000161057	PSMC2	GENE	SL	0.1775	child-child	cancer_D009369	Text Mining
ENSG00000163453	IGFBP7	GENE	ENSG00000161638	ITGA5	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000163453	IGFBP7	GENE	ENSG00000156535	CD109	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000158850	B4GALT3	GENE	ENSG00000143258	USP21	GENE	SL	0.2	child-child		Computational Prediction
ENSG00000102891	MT4	GENE	ENSG00000011422	PLAUR	GENE	SL	0.3	child-child		Computational Prediction
ENSG00000257923	CUX1	GENE	ENSG00000134853	PDGFRA	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000160868	CYP3A4	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000143799	PARP1	GENE	SL	0.56	child-child	pancreatic cancer_D010190	Text Mining
ENSG00000257923	CUX1	GENE	ENSG00000095303	PTGS1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000121879	PIK3CA	GENE	SL	0.1775	child-child	pancreatic cancer_D010190	Text Mining
ENSG00000257923	CUX1	GENE	ENSG00000174775	HRAS	GENE	SL	0.458	child-child	DLD-1	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000138109	CYP2C9	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000213281	NRAS	GENE	SL	0.458	child-child	DLD-1	GenomeRNAi
