node1_ID	node1_name	node1_type	node2_ID	node2_name	node2_type	EdgeType	EdgeScore	EdgeDirection	cell	source
ENSG00000176194	CIDEA	GENE	ENSG00000159593	NAE1	GENE	SL	0.5	child-child	A375	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000198400	NTRK1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000165731	RET	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000134853	PDGFRA	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000175003	SLC22A1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000229314	ORM1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000095303	PTGS1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000112499	SLC22A2	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000113721	PDGFRB	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000134285	FKBP11	GENE	ENSG00000157404	KIT	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000214046	SMIM7	GENE	ENSG00000159593	NAE1	GENE	SL	0.629	child-child	A375;A375;A375;A375	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000134853	PDGFRA	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000160868	CYP3A4	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000095303	PTGS1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000174775	HRAS	GENE	SL	0.458	child-child	DLD-1	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000138109	CYP2C9	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000213281	NRAS	GENE	SL	0.458	child-child	DLD-1	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000229314	ORM1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000100197	CYP2D6	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000133703	KRAS	GENE	SL	0.458	child-child	DLD-1	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000140505	CYP1A2	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000157404	KIT	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000165731	RET	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000165841	CYP2C19	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000160870	CYP3A7	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000113721	PDGFRB	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000112499	SLC22A2	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000204580	DDR1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000175003	SLC22A1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000106258	CYP3A5	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000257923	CUX1	GENE	ENSG00000198400	NTRK1	GENE	SL	0.506	child-child	K562;K562	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000188021	UBQLN2	GENE	SL	0.515	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000163584	RPL22L1	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000077514	POLD3	GENE	SL	0.443	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000168124	OR1F1	GENE	SL	0.449	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000153574	RPIA	GENE	SL	0.443	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000119537	KDSR	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000198793	MTOR	GENE	SL	0.461	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000123154	WDR83	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000105221	AKT2	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000177971	IMP3	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000076003	MCM6	GENE	SL	0.446	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000113558	SKP1	GENE	SL	0.461	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000051009	FAM160A2	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000128512	DOCK4	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000140506	LMAN1L	GENE	SL	0.44	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000163349	HIPK1	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000198648	STK39	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000263465	SRSF8	GENE	SL	0.44	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000011028	MRC2	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000151151	IPMK	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000099901	RANBP1	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000083312	TNPO1	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000176125	UFSP1	GENE	SL	0.44	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000163029	SMC6	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000196177	ACADSB	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000144824	PHLDB2	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000248713	C4orf54	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000120137	PANK3	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000142513	ACP4	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000165629	ATP5F1C	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000172273	HINFP	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000124120	TTPAL	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000147697	GSDMC	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000163634	THOC7	GENE	SL	0.443	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000117593	DARS2	GENE	SL	0.5	child-child		High Throughput
ENSG00000133703	KRAS	GENE	ENSG00000120539	MASTL	GENE	SL	0.503	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000197165	SULT1A2	GENE	SL	0.446	child-child	DLD-1	GenomeRNAi
ENSG00000133703	KRAS	GENE	ENSG00000165060	FXN	GENE	SL	0.75	child-child		RNAi Screen
ENSG00000133703	KRAS	GENE	ENSG00000105705	SUGP1	GENE	SL	0.467	child-child	DLD-1	GenomeRNAi
