gene_id	NCBI_ID	genename	genesynonym
YBR024W	852312	SCO2	NaN
YDL245C	851352	HXT15	NaN
YBR232C	NaN	NaN	NaN
YDR320W-B	NaN	NaN	NaN
YBR021W	852309	FUR4	NaN
YGR014W	852897	MSB2	NaN
YKL119C	853741	VPH2	CLS10
YKL119C	853741	VPH2	VMA12
YPR031W	856143	NTO1	NaN
YKL066W	NaN	NaN	NaN
YJL076W	853369	NET1	CFI1
YJL076W	853369	NET1	ESC5
YJL076W	853369	NET1	SRM8
YPL174C	855929	NIP100	PAC13
YIL003W	854814	CFD1	DRE3
YML066C	854936	SMA2	NaN
YMR129W	855159	POM152	NaN
YBR140C	852437	IRA1	GLC1
YBR140C	852437	IRA1	PPD1
YGR242W	NaN	NaN	NaN
YKR047W	NaN	NaN	NaN
YKL029C	853839	MAE1	NaN
YLR154C-G	1466409	NaN	NaN
YPL028W	856079	ERG10	LPB3
YPL028W	856079	ERG10	TSM0115
YDL235C	851363	YPD1	NaN
YER091C	856825	MET6	NaN
YMR121C	855150	RPL15B	L13B
YMR121C	855150	RPL15B	L15B
YMR121C	855150	RPL15B	rp15R
YMR121C	855150	RPL15B	YL10
YDR356W	851957	SPC110	NUF1
YDR356W	851957	SPC110	XCM1
YDR337W	851937	MRPS28	NaN
YKL008C	853861	LAC1	DGT1
YER055C	856782	HIS1	NaN
YFR004W	850554	RPN11	MPR1
YDR108W	851686	TRS85	GSG1
YDR108W	851686	TRS85	MUM1
YDL200C	851327	MGT1	MGMT
YJR134C	853598	SGM1	NaN
YMR135C	855166	GID8	DCR1
YGR012W	852895	MCY1	NaN
YNL244C	855477	SUI1	MOF2
YNL244C	855477	SUI1	RFR1
YCR024C-A	850389	PMP1	NaN
YOR027W	854192	STI1	NaN
YBL101C	852173	ECM21	ART2
YLL040C	850619	VPS13	SOI1
YLL040C	850619	VPS13	VPT2
YDR181C	851762	SAS4	NaN
YML116W-A	NaN	NaN	YML117W-A
YPR096C	856211	NaN	NaN
YJL210W	853219	PEX2	CRT1
YJL210W	853219	PEX2	PAS5
YLR216C	850914	CPR6	CYP40
YGL118C	NaN	NaN	NaN
YMR021C	855035	MAC1	CUA1
YNL079C	855645	TPM1	tropomyosin
YBL058W	852222	SHP1	UBX1
YJR127C	853592	RSF2	ZMS1
YLR088W	850777	GAA1	END2
YKL128C	853730	PMU1	NaN
YLR100W	850790	ERG27	NaN
YKL106C-A	853754	NaN	NaN
YBR080C	852372	SEC18	ANU4
YOR292C	854467	NaN	NaN
YNL219C	855502	ALG9	NaN
YPR179C	856309	HDA3	PLO1
YOL062C	854092	APM4	AMP1
YDR540C	852153	IRC4	NaN
YER087W	856820	AIM10	NaN
YOL140W	854025	ARG8	NaN
YFL009W	850539	CDC4	NaN
YLL004W	850656	ORC3	NaN
YKL057C	853808	NUP120	RAT2
YPL130W	855973	SPO19	NaN
YDL046W	851514	NPC2	NaN
YPL072W	856032	UBP16	NaN
YPR150W	NaN	NaN	NaN
YER180C	856927	ISC10	NaN
YGL157W	852720	ARI1	NaN
YDR252W	851839	BTT1	NaN
YLR037C	850726	PAU23	DAN2
YMR307W	855355	GAS1	CWH52
YMR307W	855355	GAS1	GGP1
YIL116W	854690	HIS5	NaN
YAL040C	851191	CLN3	DAF1
YAL040C	851191	CLN3	FUN10
YAL040C	851191	CLN3	WHI1
YGL232W	852619	TAN1	NaN
YHR181W	856587	SVP26	ERV26
YBR051W	NaN	NaN	NaN
YPL259C	855869	APM1	YAP54
YDR461C-A	3799972	NaN	NaN
YJL087C	853358	TRL1	LIG1
YJL087C	853358	TRL1	RLG1
YIR005W	854821	IST3	SNU17
YDL080C	851479	THI3	KID1
YJL209W	853221	CBP1	NaN
YLR286C	850992	CTS1	NaN
YEL044W	856667	IES6	NaN
YOR371C	854553	GPB1	KRH2
YLR071C	850760	RGR1	MED14
YBL050W	852230	SEC17	RNS3
YOR025W	854190	HST3	NaN
YHL001W	856388	RPL14B	L14B
YJR042W	853499	NUP85	RAT9
YNL185C	855536	MRPL19	YmL19
YBR129C	852426	OPY1	NaN
YKL145W	853712	RPT1	CIM5
YKL145W	853712	RPT1	YTA3
YIL015W	854797	BAR1	SST1
YPL018W	856089	CTF19	MCM18
YLR160C	850857	ASP3-4	ASP3
YLR160C	850855	ASP3-4	ASP3
YLR160C	850852	ASP3-4	ASP3
YLR160C	850850	ASP3-4	ASP3
YIL047C	854764	SYG1	NaN
YBL039C-A	NaN	NaN	NaN
YOR061W	854227	CKA2	YOR29-12
YOR061W	854227	CKA2	CK2 subunit
YJR005C-A	1466469	LSO1	NaN
YLR352W	851066	NaN	NaN
YDR068W	851640	DOS2	NaN
YJL128C	853313	PBS2	HOG4
YJL128C	853313	PBS2	SFS4
YJL128C	853313	PBS2	SSK4
YPL228W	855873	CET1	CES5
YML036W	854972	CGI121	NaN
YKL114C	853746	APN1	NaN
YDR078C	851650	SHU2	NaN
YCR105W	850469	ADH7	ADHVII
YJR083C	853545	ACF4	NaN
YDR248C	851835	NaN	NaN
YPL199C	855902	NaN	NaN
YNL136W	855586	EAF7	NaN
YLL045C	850682	RPL8B	KRB1
YLL045C	850682	RPL8B	SCL41
YLL045C	850682	RPL8B	L4B
YLL045C	850682	RPL8B	L8B
YLL045C	850682	RPL8B	rp6
YLL045C	850682	RPL8B	YL5
YOR316C-A	1466487	NaN	NaN
YNL264C	855457	PDR17	ISS1
YNL264C	855457	PDR17	SFH4
YLR320W	851030	MMS22	SLM2
YBR028C	852316	YPK3	NaN
YKL098W	853763	MTC2	NaN
YBR063C	852356	NaN	NaN
YJL052C-A	853394	NaN	NaN
YPR060C	856173	ARO7	HGS1
YPR060C	856173	ARO7	OSM2
YPR060C	856173	ARO7	TYR7
YLL013C	850647	PUF3	NaN
YKR067W	853941	GPT2	GAT1
YLR040C	850730	AFB1	NaN
YMR093W	855118	UTP15	NaN
