gene_id	type
YAL001C	essential
YAL002W	non_essential
YAL003W	essential
YAL004W	non_essential
YAL005C	non_essential
YAL007C	non_essential
YAL008W	non_essential
YAL009W	non_essential
YAL010C	non_essential
YAL011W	non_essential
YAL012W	essential
YAL013W	non_essential
YAL014C	non_essential
YAL015C	non_essential
YAL016C-A	non_essential
YAL016C-B	non_essential
YAL016W	non_essential
YAL017W	non_essential
YAL018C	non_essential
YAL019W	non_essential
YAL019W-A	non_essential
YAL020C	non_essential
YAL021C	non_essential
YAL022C	non_essential
YAL023C	non_essential
YAL024C	non_essential
YAL025C	essential
YAL026C	non_essential
YAL026C-A	non_essential
YAL027W	non_essential
YAL028W	non_essential
YAL029C	non_essential
YAL030W	non_essential
YAL031C	non_essential
YAL031W-A	non_essential
YAL032C	essential
YAL033W	essential
YAL034C	non_essential
YAL034C-B	essential
YAL034W-A	essential
YAL035W	essential
YAL036C	non_essential
YAL037C-A	non_essential
YAL037C-B	non_essential
YAL037W	non_essential
YAL038W	essential
YAL039C	non_essential
YAL040C	non_essential
YAL041W	essential
YAL042C-A	non_essential
YAL042W	non_essential
YAL043C	essential
YAL044C	non_essential
YAL044W-A	non_essential
YAL045C	non_essential
YAL046C	non_essential
YAL047C	essential
YAL047W-A	non_essential
YAL048C	non_essential
YAL049C	non_essential
YAL051W	non_essential
YAL053W	non_essential
YAL054C	non_essential
YAL055W	non_essential
YAL056C-A	non_essential
YAL056W	non_essential
YAL058W	non_essential
YAL059C-A	non_essential
YAL059W	non_essential
YAL060W	non_essential
YAL061W	non_essential
YAL062W	non_essential
YAL063C	non_essential
YAL063C-A	non_essential
YAL064C-A	non_essential
YAL064W	non_essential
YAL064W-B	non_essential
YAL065C	non_essential
YAL066W	non_essential
YAL067C	non_essential
YAL067W-A	non_essential
YAL068C	non_essential
YAL068W-A	non_essential
YAL069W	non_essential
YAR002C-A	non_essential
YAR002W	non_essential
YAR003W	non_essential
YAR007C	essential
YAR008W	essential
YAR014C	non_essential
YAR015W	non_essential
YAR018C	non_essential
YAR019C	essential
YAR019W-A	non_essential
YAR020C	non_essential
YAR023C	non_essential
YAR027W	non_essential
YAR028W	non_essential
YAR029W	non_essential
YAR030C	non_essential
YAR031W	non_essential
YAR033W	non_essential
YAR035C-A	non_essential
YAR035W	non_essential
YAR042W	non_essential
YAR047C	non_essential
YAR050W	non_essential
YAR053W	non_essential
YAR060C	non_essential
YAR064W	non_essential
YAR066W	non_essential
YAR068W	non_essential
YAR069C	non_essential
YAR070C	non_essential
YAR071W	non_essential
YAR073W	non_essential
YAR075W	non_essential
YBL001C	non_essential
YBL002W	non_essential
YBL003C	essential
YBL004W	essential
YBL005W	non_essential
YBL006C	non_essential
