Gene_Symbol	Gene_ID	Haploinsufficiency_Score	Haploinsufficiency_Description	Triplosensitivity_Score	Triplosensitivity_Description	Haploinsufficiency_Disease_ID	Triplosensitivity_Disease_ID
A4GALT	53947	30	Gene associated with autosomal recessive phenotype	0	No evidence available		
AAGAB	79719	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007858	
AARS1	16	0	No evidence available	0	No evidence available		
AARS2	57505	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014387	
AASS	10157	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009388	
ABAT	18	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013166	
ABCB11	8647	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011156	
ABCC8	6833	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009734	
ABCD1	215	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0018544	
ABCG5	64240	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0020747	
ABCG8	64241	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0020747	
ABHD12	26090	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012984	
ABR	29	0	No evidence available	0	No evidence available		
ABRAXAS1	84142	0	No evidence available	0	No evidence available		
ACAD8	27034	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012648	
ACADM	34	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008721	
ACADSB	36	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012392	
ACADVL	37	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008723	
ACD	65057	1	Little evidence for dosage pathogenicity	0	No evidence available		
ACOX1	51	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009919	
ACP5	54	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011939	
ACSF3	197322	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013661	
ACSL4	2182	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010313	
ACTA2	59	1	Little evidence for dosage pathogenicity	0	No evidence available		
ACTB	60	0	No evidence available	0	No evidence available	MONDO:0000508	
ACTC1	70	1	Little evidence for dosage pathogenicity	0	No evidence available		
ACTL6B	51412	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0100062	
ACVRL1	94	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010880	
ADA2	51816	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014306	
