gene_id	NCBI_ID	transcript_id	protein_id	description	chr	genename	genesynonym	type
YBR024W	852312	YBR024W_mRNA	YBR024W	Protein anchored to mitochondrial inner membrane; may have a redundant function with Sco1p in delivery of copper to cytochrome c oxidase; interacts with Cox2p; SCO2 has a paralog, SCO1, that arose from the whole genome duplication [Source:SGD;Acc:S000000228]	II	SCO2	NaN	protein_coding
YDL245C	851352	YDL245C_mRNA	YDL245C	Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose [Source:SGD;Acc:S000002404]	IV	HXT15	NaN	protein_coding
YBR232C	NaN	YBR232C_mRNA	YBR232C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000000436]	II	NaN	NaN	protein_coding
YDR320W-B	NaN	YDR320W-B_mRNA	YDR320W-B	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene DAD4/YDR320C-A [Source:SGD;Acc:S000028821]	IV	NaN	NaN	protein_coding
YBR021W	852309	YBR021W_mRNA	YBR021W	Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation [Source:SGD;Acc:S000000225]	II	FUR4	NaN	protein_coding
YGR014W	852897	YGR014W_mRNA	YGR014W	Mucin family member involved in various signaling pathways; functions as osmosensor in the Sho1p-mediated HOG pathway; functions in Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; processed into secreted and cell-associated forms by aspartyl protease Yps1p; potential Cdc28p substrate [Source:SGD;Acc:S000003246]	VII	MSB2	NaN	protein_coding
tT(AGU)O2	NaN	tT(AGU)O2_tRNA	NaN	Threonine tRNA (tRNA-Thr), predicted by tRNAscan-SE analysis [Source:SGD;Acc:S000006747]	XV	NaN	NaN	tRNA
YKL119C	853741	YKL119C_mRNA	YKL119C	Integral membrane protein required for V-ATPase function; not an actual component of the vacuolar H+-ATPase (V-ATPase) complex; functions in the assembly of the V-ATPase; localized to the endoplasmic reticulum (ER); involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner [Source:SGD;Acc:S000001602]	XI	VPH2	CLS10	protein_coding
YKL119C	853741	YKL119C_mRNA	YKL119C	Integral membrane protein required for V-ATPase function; not an actual component of the vacuolar H+-ATPase (V-ATPase) complex; functions in the assembly of the V-ATPase; localized to the endoplasmic reticulum (ER); involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner [Source:SGD;Acc:S000001602]	XI	VPH2	VMA12	protein_coding
YPR031W	856143	YPR031W_mRNA	YPR031W	Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3 [Source:SGD;Acc:S000006235]	XVI	NTO1	NaN	protein_coding
