Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
blocked reading frame	S000000911	YER109C	S. cerevisiae	FLO8	FLOcculation	PHD5|STA10|transcription factor FLO8|YER108C
blocked reading frame	S000001429	YIL167W	S. cerevisiae	SDL1	""	L-serine ammonia-lyase|YIL168W
blocked reading frame	S000001482	YIR043C	S. cerevisiae	""	""	YIR044C
blocked reading frame	S000002541	YDR134C	S. cerevisiae	CCW22	Covalently bound Cell Wall protein	""
blocked reading frame	S000005513	YOL153C	S. cerevisiae	""	""	""
blocked reading frame	S000005557	YOR031W	S. cerevisiae	CRS5	Copper-Resistant Suppressor	metallothionein CRS5
intein encoding region	S000029636	VDE	S. cerevisiae	VDE	VMA1-Derived Endonuclease	PI-SceI|VDE1|YDL184w-a|YDL185W2
intein_encoding_region	S000002344_C	""	S. cerevisiae	""	""	""
ncRNA gene	S000006490	YNCE0007C	S. cerevisiae	RPR1	RNase P Ribonucleoprotein	""
ncRNA gene	S000006491	YNCE0024W	S. cerevisiae	SCR1	Small Cytoplasmic RNA	""
ncRNA gene	S000028470	YNCH0007W	S. cerevisiae	RUF5-1	RNA of Unknown Function	RUF5
ncRNA gene	S000028474	YNCH0008W	S. cerevisiae	RUF5-2	RNA of Unknown Function	RUF5
ncRNA gene	S000029010	YNCE0017W	S. cerevisiae	SRG1	SER3 Regulatory Gene	""
ncRNA gene	S000029023	YNCQ0027W	S. cerevisiae	RPM1	RNase P Mitochondrial	Q0285
ncRNA gene	S000077071	YNCM0003W	S. cerevisiae	ZOD1	Zone Of Disparity	""
ncRNA gene	S000114171	YNCM0032C	S. cerevisiae	RNA170	""	""
ncRNA gene	S000119380	YNCA0001W	S. cerevisiae	HRA1	Hidden in Region Antisense	""
ncRNA gene	S000130127	YNCF0003C	S. cerevisiae	RUF20	RNA of Unknown Function	""
ncRNA gene	S000130129	YNCF0001C	S. cerevisiae	RUF21	RNA of Unknown Function	""
ncRNA gene	S000130131	YNCF0010C	S. cerevisiae	RUF22	RNA of Unknown Function	""
ncRNA gene	S000130133	YNCF0013W	S. cerevisiae	RUF23	RNA of Unknown Function	""
