node1_ID	node1_transcript	node1_prot_ID	node1_name	node1_chr	node1_start	node1_end	paralog_ID	paralog_prot_ID	paralog_name	paralog_chr	paralog_start	paralog_end	identity_target_to_query	identity_query_to_target
YBR024W	YBR024W_mRNA	YBR024W	SCO2	II	289445	290350	YBR037C	YBR037C	SCO1	II	310565.0	311452.0	54.1528	55.2542
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YBR241C	YBR241C	NaN	II	702589.0	704055.0	17.8131	20.6967
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YGL104C	YGL104C	VPS73	VII	308713.0	310173.0	15.873	18.5185
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YJR160C	YJR160C	MPH3	X	738008.0	739816.0	16.2257	15.2824
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YDL247W	YDL247W	MPH2	IV	5985.0	7814.0	16.5785	15.4351
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YBR298C	YBR298C	MAL31	II	802631.0	804475.0	15.873	14.658
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YGR289C	YGR289C	MAL11	VII	1073963.0	1075813.0	15.6966	14.4481
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YDL194W	YDL194W	SNF3	IV	111580.0	114234.0	22.7513	14.5928
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YDL138W	YDL138W	RGT2	IV	213351.0	215642.0	22.7513	16.9069
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YOL103W	YOL103W	ITR2	XV	124001.0	125830.0	20.1058	18.7192
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YDR497C	YDR497C	ITR1	IV	1443713.0	1445467.0	19.224	18.6644
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YDR387C	YDR387C	CIN10	IV	1248154.0	1249821.0	19.224	19.6396
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YJR158W	YJR158W	HXT16	X	732440.0	734143.0	99.6473	99.6473
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YEL069C	YEL069C	HXT13	V	21537.0	23231.0	89.9471	90.4255
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YNR072W	YNR072W	HXT17	XIV	772657.0	774351.0	89.9471	90.4255
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YLR081W	YLR081W	GAL2	XII	290212.0	291936.0	57.672	56.9686
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YDR343C	YDR343C	HXT6	IV	1159608.0	1161320.0	55.9083	55.614
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YMR011W	YMR011W	HXT2	XIII	288079.0	289704.0	50.7937	53.2347
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	11657	13360	YFL011W	YFL011W	HXT10	VI	112345.0	113985.0	50.6173	52.5641
