sgd_id	gene_id	gene_symbol	gene_name	gene_alias	chr	type
S000000911	YER109C	FLO8	FLOcculation	PHD5|STA10|transcription factor FLO8|YER108C	chrV	blocked reading frame
S000001429	YIL167W	SDL1		L-serine ammonia-lyase|YIL168W	chrIX	blocked reading frame
S000001482	YIR043C			YIR044C	chrIX	blocked reading frame
S000002541	YDR134C	CCW22	Covalently bound Cell Wall protein		chrIV	blocked reading frame
S000005513	YOL153C				chrXV	blocked reading frame
S000005557	YOR031W	CRS5	Copper-Resistant Suppressor	metallothionein CRS5	chrXV	blocked reading frame
S000029636	VDE	VDE	VMA1-Derived Endonuclease	PI-SceI|VDE1|YDL184w-a|YDL185W2	chrIV	intein encoding region
S000002344_C					chrIV	intein_encoding_region
S000006490	YNCE0007C	RPR1	RNase P Ribonucleoprotein		chrV	ncRNA gene
S000006491	YNCE0024W	SCR1	Small Cytoplasmic RNA		chrV	ncRNA gene
S000028470	YNCH0007W	RUF5-1	RNA of Unknown Function	RUF5	chrVIII	ncRNA gene
S000028474	YNCH0008W	RUF5-2	RNA of Unknown Function	RUF5	chrVIII	ncRNA gene
S000029010	YNCE0017W	SRG1	SER3 Regulatory Gene		chrV	ncRNA gene
S000029023	YNCQ0027W	RPM1	RNase P Mitochondrial	Q0285	chrmt	ncRNA gene
S000077071	YNCM0003W	ZOD1	Zone Of Disparity		chrXIII	ncRNA gene
S000114171	YNCM0032C	RNA170			chrXIII	ncRNA gene
S000119380	YNCA0001W	HRA1	Hidden in Region Antisense		chrI	ncRNA gene
S000130127	YNCF0003C	RUF20	RNA of Unknown Function		chrVI	ncRNA gene
S000130129	YNCF0001C	RUF21	RNA of Unknown Function		chrVI	ncRNA gene
S000130131	YNCF0010C	RUF22	RNA of Unknown Function		chrVI	ncRNA gene
S000130133	YNCF0013W	RUF23	RNA of Unknown Function		chrVI	ncRNA gene
S000132612	YNCI0012	ICR1	Interfering Crick RNA		chrIX	ncRNA gene
S000132614	YNCI0013W	PWR1	Promoting Watson RNA	PWR1	chrIX	ncRNA gene
S000144908	YNCG0006C	RME2	Regulator of Meiosis	IME4-AS	chrVII	ncRNA gene
S000144910	YNCG0001C	RME3	Regulator of Meiosis	SUT534	chrVII	ncRNA gene
S000178119	YNCJ0028C	IRT1	IME1 Regulatory Transcript	SUT643	chrX	ncRNA gene
S000303802	YNCB0008W			GAL10-ncRNA|GAL1ucut	chrII	ncRNA gene
S000303803	YNCB0014W	TBRT	TAT1 and BAP2 Regulatory Transcript	XUT_2F-154	chrII	ncRNA gene
S000303809	YNCH0011W	SUT169	Stable Unannotated Transcript		chrVIII	ncRNA gene
S000303814	YNCM0001W			PHO84 AS RNA|PHO84 lncRNA|PHO84 lncRNA	chrXIII	ncRNA gene
S000303815	YNCP0002W			GAL4 lncRNA|GAL4 lncRNA	chrXVI	ncRNA gene
S000345037	YNCC0015W	SUT035	Stable Unannotated Transcript		chrIII	ncRNA gene
S000345038	YNCD0033W	SUT053	Stable Unannotated Transcript		chrIV	ncRNA gene
S000345039	YNCD0034C	SUT468	Stable Unannotated Transcript		chrIV	ncRNA gene
S000345040	YNCG0047C	SUT532	Stable Unannotated Transcript		chrVII	ncRNA gene
S000345041	YNCG0048W	SUT125	Stable Unannotated Transcript		chrVII	ncRNA gene
S000345042	YNCG0049W	SUT126	Stable Unannotated Transcript		chrVII	ncRNA gene
S000345043	YNCP0025W	SUT390	Stable Unannotated Transcript		chrXVI	ncRNA gene
S000345044	YNCP0026W	SUT418	Stable Unannotated Transcript		chrXVI	ncRNA gene
S000029237	YSC0002	KHR1	Killer of Heat Resistant			not in systematic sequence of S288C
S000029328	YSC0030	NTS1-1	NonTranscribed Spacer			not in systematic sequence of S288C
S000029417	YSC0031	RF2	Reading Frame 2			not in systematic sequence of S288C
S000029522	YSC0033	STA1	STArch			not in systematic sequence of S288C
S000029524	YSC0034	STA2	STArch			not in systematic sequence of S288C
S000029525	YSC0035	STA3	STArch			not in systematic sequence of S288C
S000029531	YSC0037	SUC1	SUCrose			not in systematic sequence of S288C
S000029532	YSC0038	SUC3	SUCrose			not in systematic sequence of S288C
S000029533	YSC0039	SUC4	SUCrose			not in systematic sequence of S288C
S000029534	YSC0040	SUC5	SUCrose			not in systematic sequence of S288C
S000029535	YSC0041	SUC7	SUCrose			not in systematic sequence of S288C
S000029656	YSC0003	MAL2	MALtose fermentation			not in systematic sequence of S288C
S000029657	YSC0006	MAL23	MALtose fermentation			not in systematic sequence of S288C
S000029658	YSC0013	MAL61	MALtose fermentation			not in systematic sequence of S288C
S000029659	YSC0015	MAL63	MALtose fermentation			not in systematic sequence of S288C
S000029660	YSC0017	MATA1	MATing type			not in systematic sequence of S288C
S000029661	YSC0018	MATA2	MATing type			not in systematic sequence of S288C
S000029662	YSC0019	MEL1	MELibiose			not in systematic sequence of S288C
S000029663	YSC0021	MEL2	MELibiose			not in systematic sequence of S288C
S000029664	YSC0024	MEL5	MELibiose			not in systematic sequence of S288C
S000029665	YSC0025	MEL6	MELibiose			not in systematic sequence of S288C
S000029666	YSC0029	MPR1	sigMa1278b gene for L-Proline analogue Resistance			not in systematic sequence of S288C
S000029677	YSC0032	RTM1	Resistance to Toxic Molasses			not in systematic sequence of S288C
S000029679	YSC0036	STRP	S. cerevisiae TM30nm Related Protein			not in systematic sequence of S288C
S000029681	YSC0004	MAL21	MALtose fermentation			not in systematic sequence of S288C
S000029682	YSC0005	MAL22	MALtose fermentation			not in systematic sequence of S288C
S000029684	YSC0007	MAL34	MALtose fermentation			not in systematic sequence of S288C
S000029685	YSC0008	MAL4	MALtose fermentation			not in systematic sequence of S288C
S000029686	YSC0009	MAL41	MALtose fermentation			not in systematic sequence of S288C
S000029687	YSC0010	MAL42	MALtose fermentation			not in systematic sequence of S288C
S000029688	YSC0011	MAL43	MALtose fermentation			not in systematic sequence of S288C
S000029689	YSC0012	MAL6	MALtose fermentation			not in systematic sequence of S288C
S000029690	YSC0014	MAL62	MALtose fermentation			not in systematic sequence of S288C
S000029691	YSC0016	MAL64	MALtose fermentation			not in systematic sequence of S288C
S000029692	YSC0020	MEL10	MELibiose			not in systematic sequence of S288C
S000029693	YSC0022	MEL3	MELibiose			not in systematic sequence of S288C
S000029694	YSC0023	MEL4	MELibiose			not in systematic sequence of S288C
S000029695	YSC0026	MEL7	MELibiose			not in systematic sequence of S288C
S000029696	YSC0027	MEL8	MELibiose			not in systematic sequence of S288C
S000029697	YSC0028	MEL9	MELibiose			not in systematic sequence of S288C
S000029698	YSC0001	ENS2	ENdo.SceI			not in systematic sequence of S288C
S000029703	YSC0042	AWA1	"AWA (Japanese for ""foam"")"			not in systematic sequence of S288C
S000029723	YSC0043	BIO6	BIOtin			not in systematic sequence of S288C
S000080162	YSC0044	KHS1	Killer of Heat Sensitive			not in systematic sequence of S288C
S000124112	YSC0045	TAT3	Tyrosine Amino acid Transporter			not in systematic sequence of S288C
S000124955	YSC0046	MATA	MATing type			not in systematic sequence of S288C
S000125018	YSC0047	BIO1	BIOtin			not in systematic sequence of S288C
S000125021	YSC0048	BIO8	BIOtin			not in systematic sequence of S288C
S000125022	YSC0049	BIO7	BIOtin			not in systematic sequence of S288C
S000130715	YSC0050	ENA6	"Exitus NAtru (Latin, ""exit sodium"")"			not in systematic sequence of S288C
S000133140	YSC0051	XDH1	Xylitol Deydrogenase			not in systematic sequence of S288C
S000134352	YSC0052	SUC8	SUCrose			not in systematic sequence of S288C
S000145155	YSC0053	FPG1	Foam-Promoting Gene			not in systematic sequence of S288C
S000149345	YSC0054	IMI1	Irr1 Mediated Interaction			not in systematic sequence of S288C
S000150108	YSC0055	MPR2	sigMa1278b gene for L-Proline analogue Resistance			not in systematic sequence of S288C
S000342316	YSC0058	DFP13	DUP240 Family Protein			not in systematic sequence of S288C
S000342317	YSC0059	DFP14	DUP240 Family Protein			not in systematic sequence of S288C
S000342318	YSC0060	DFP15	DUP240 Family Protein			not in systematic sequence of S288C
S000342319	YSC0061	DFP16	DUP240 Family Protein			not in systematic sequence of S288C
S000342320	YSC0062	DFP17	DUP240 Family Protein			not in systematic sequence of S288C
S000342321	YSC0063	DFP18	DUP240 Family Protein			not in systematic sequence of S288C
S000342322	YSC0064	DFP19	DUP240 Family Protein			not in systematic sequence of S288C
S000342323	YSC0065	DFP20	DUP240 Family Protein			not in systematic sequence of S288C
S000342324	YSC0066	DFP21	DUP240 Family Protein			not in systematic sequence of S288C
S000342325	YSC0067	DFP22	DUP240 Family Protein			not in systematic sequence of S288C
S000342326	YSC0068	DFP23	DUP240 Family Protein			not in systematic sequence of S288C
S000342327	YSC0069	DFP24	DUP240 Family Protein			not in systematic sequence of S288C
S000342328	YSC0070	DFP25	DUP240 Family Protein			not in systematic sequence of S288C
S000342329	YSC0071	DFP26	DUP240 Family Protein			not in systematic sequence of S288C
S000342330	YSC0056	DFP11	DUP240 Family Protein			not in systematic sequence of S288C
S000342331	YSC0057	DFP12	DUP240 Family Protein			not in systematic sequence of S288C
S000000001	YAL001C	TFC3	Transcription Factor class C	FUN24|tau 138|transcription factor TFIIIC subunit TFC3|TSV115	chrI	ORF
S000000002	YAL002W	VPS8	Vacuolar Protein Sorting	CORVET complex membrane-binding subunit VPS8|FUN15|VPL8|VPT8	chrI	ORF
S000000003	YAL003W	EFB1	Elongation Factor Beta	eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta	chrI	ORF
S000000004	YAL005C	SSA1	Stress-Seventy subfamily A	Hsp70 family ATPase SSA1|YG100	chrI	ORF
S000000005	YAL007C	ERP2	Emp24p/Erv25p Related Protein		chrI	ORF
S000000006	YAL008W	FUN14	Function Unknown Now	MCP3	chrI	ORF
S000000007	YAL009W	SPO7	SPOrulation	Nem1-Spo7 phosphatase regulatory subunit SPO7	chrI	ORF
S000000008	YAL010C	MDM10	Mitochondrial Distribution and Morphology	FUN37	chrI	ORF
S000000009	YAL011W	SWC3	SWr Complex	SWC1	chrI	ORF
S000000010	YAL012W	CYS3	CYStathionine gamma-lyase	CYI1|cystathionine gamma-lyase CYS3|FUN35|STR1	chrI	ORF
S000000011	YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	FUN54|Rpd3L histone deacetylase complex subunit DEP1	chrI	ORF
S000000012	YAL014C	SYN8	SYNtaxin	SLT2|syntaxin|UIP2	chrI	ORF
S000000013	YAL015C	NTG1	eNdonuclease Three-like Glycosylase	bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1	chrI	ORF
S000000014	YAL016W	TPD3	tRNA Processing Deficient	FUN32|protein phosphatase 2A structural subunit TPD3	chrI	ORF
S000000015	YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	FUN31|serine/threonine protein kinase PSK1	chrI	ORF
S000000016	YAL018C	LDS1	Lipid Droplets in Sporulation		chrI	ORF
S000000017	YAL019W	FUN30	Function Unknown Now	DNA-dependent ATPase FUN30	chrI	ORF
S000000018	YAL020C	ATS1	Alpha Tubulin Suppressor	DPH8|FUN28|KTI13	chrI	ORF
S000000019	YAL021C	CCR4	Carbon Catabolite Repression	CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21	chrI	ORF
S000000020	YAL022C	FUN26	Function Unknown Now	nucleoside transmembrane transporter FUN26	chrI	ORF
S000000021	YAL023C	PMT2	Protein O-MannosylTransferase	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	chrI	ORF
S000000022	YAL024C	LTE1	Low Temperature Essential	mitotic regulator LTE1|MSI2	chrI	ORF
S000000023	YAL025C	MAK16	MAintenance of Killer	ribosome biosynthesis protein MAK16	chrI	ORF
S000000024	YAL026C	DRS2	Deficiency of Ribosomal Subunits	aminophospholipid-translocating P4-type ATPase DRS2|FUN38|SWA3	chrI	ORF
S000000025	YAL027W	SAW1	Single-strand Annealing Weakened	DNA-binding protein SAW1	chrI	ORF
S000000026	YAL028W	FRT2	Functionally Related to TCP1	HPH2	chrI	ORF
S000000027	YAL029C	MYO4	MYOsin	FUN22|myosin 4|SHE1	chrI	ORF
S000000028	YAL030W	SNC1	Suppressor of the Null allele of CAP	SNAP receptor SNC1	chrI	ORF
S000000029	YAL031C	GIP4	Glc7 Interacting Protein	FUN21|protein phosphatase regulator GIP4	chrI	ORF
S000000030	YAL032C	PRP45	Pre-mRNA Processing	FUN20|mRNA splicing protein PRP45	chrI	ORF
S000000031	YAL033W	POP5	Processing Of Precursor RNAs	FUN53|RNA-binding protein POP5	chrI	ORF
S000000032	YAL034W-A	MTW1	Mis TWelve-like	DSN3|MIND complex subunit MTW1|NSL2	chrI	ORF
S000000033	YAL035W	FUN12	Function Unknown Now	eIF5B|translation initiation factor eIF5B|yIF2	chrI	ORF
S000000034	YAL036C	RBG1	RiBosome interacting Gtpase	FUN11|GTP-binding protein RBG1	chrI	ORF
S000000035	YAL037W				chrI	ORF
S000000036	YAL038W	CDC19	Cell Division Cycle	PYK1|pyruvate kinase CDC19	chrI	ORF
S000000037	YAL039C	CYC3	CYtochrome C	CCHL|holocytochrome c synthase CYC3	chrI	ORF
S000000038	YAL040C	CLN3	CycLiN	cyclin CLN3|DAF1|FUN10|WHI1	chrI	ORF
S000000039	YAL041W	CDC24	Cell Division Cycle	CLS4|Rho family guanine nucleotide exchange factor CDC24	chrI	ORF
S000000040	YAL042W	ERV46	ER Vesicle	FUN9	chrI	ORF
S000000041	YAL043C	PTA1	Pre-Trna Accumulation	FUN39|RNA-processing protein PTA1	chrI	ORF
S000000042	YAL044C	GCV3	GlyCine cleaVage	glycine decarboxylase subunit H	chrI	ORF
S000000043	YAL045C				chrI	ORF
S000000044	YAL046C	BOL3	BolA-like protein	AIM1	chrI	ORF
S000000045	YAL047C	SPC72	Spindle Pole Component	gamma-tubulin complex subunit SPC72|LDB4	chrI	ORF
S000000046	YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	chrI	ORF
S000000047	YAL049C	AIM2	Altered Inheritance rate of Mitochondria	protein AIM2	chrI	ORF
S000000048	YAL051W	OAF1	Oleate-Activated transcription Factor	oleate-activated transcription factor OAF1|YAF1	chrI	ORF
S000000049	YAL053W	FLC2	FLavin Carrier	flavin adenine dinucleotide transporter FLC2|HUF2	chrI	ORF
S000000050	YAL054C	ACS1	Acetyl CoA Synthetase	acetate--CoA ligase 1|FUN44	chrI	ORF
S000000051	YAL055W	PEX22	PEroXisome related	ubiquitin-protein transferase activating protein PEX22|YAF5	chrI	ORF
S000000052	YAL056W	GPB2		KRH1	chrI	ORF
S000000054	YAL058W	CNE1	CalNExin and calreticulin homolog	calnexin|FUN48	chrI	ORF
S000000055	YAL059W	ECM1	ExtraCellular Mutant		chrI	ORF
S000000056	YAL060W	BDH1	Butanediol DeHydrogenase	BDH|(R,R)-butanediol dehydrogenase	chrI	ORF
S000000057	YAL061W	BDH2		putative dehydrogenase BDH2	chrI	ORF
S000000058	YAL062W	GDH3	Glutamate DeHydrogenase	FUN51|glutamate dehydrogenase (NADP(+)) GDH3	chrI	ORF
S000000059	YAL063C	FLO9	FLOcculation	flocculin FLO9	chrI	ORF
S000000060	YAL064W				chrI	ORF
S000000061	YAL066W				chrI	ORF
S000000062	YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance	putative permease SEO1	chrI	ORF
S000000063	YAR002W	NUP60	NUclear Pore	FG-nucleoporin NUP60	chrI	ORF
S000000064	YAR003W	SWD1	Set1c, WD40 repeat protein	COMPASS subunit protein SWD1|CPS50|FUN16|SAF49	chrI	ORF
S000000065	YAR007C	RFA1	Replication Factor A	BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70	chrI	ORF
S000000066	YAR008W	SEN34	Splicing ENdonuclease	FUN4|tRNA splicing endonuclease subunit SEN34	chrI	ORF
S000000069	YAR014C	BUD14	BUD site selection	protein phosphatase regulator BUD14	chrI	ORF
S000000070	YAR015W	ADE1	ADEnine requiring	phosphoribosylaminoimidazolesuccinocarboxamide synthase	chrI	ORF
S000000071	YAR018C	KIN3	protein KINase	FUN52|NPK1|serine/threonine protein kinase KIN3	chrI	ORF
S000000072	YAR019C	CDC15	Cell Division Cycle	LYT1|RLT1|serine/threonine protein kinase CDC15	chrI	ORF
S000000073	YAR020C	PAU7	seriPAUperin family	seripauperin PAU7	chrI	ORF
S000000074	YAR023C	DFP1	DUP240 Family Protein	DUP240 family protein	chrI	ORF
S000000075	YAR027W	UIP3	Ulp1 Interacting Protein	DUP240 family protein UIP3	chrI	ORF
S000000076	YAR028W	KTD1	Killer Toxin Defens	DUP240 family protein	chrI	ORF
S000000077	YAR029W	DFP2	DUP240 Family Protein	DUP240 family protein	chrI	ORF
S000000078	YAR031W	PRM9	Pheromone-Regulated Membrane protein	pheromone-regulated DUP240 family protein PRM9	chrI	ORF
S000000079	YAR033W	MST28	Multicopy suppressor of Sec Twenty one	DUP240 family protein MST28	chrI	ORF
S000000080	YAR035W	YAT1		carnitine O-acetyltransferase YAT1	chrI	ORF
S000000081	YAR042W	SWH1		OSH1|oxysterol-binding protein related protein SWH1|YAR044W	chrI	ORF
S000000083	YAR047C				chrI	ORF
S000000084	YAR050W	FLO1	FLOcculation	FLO2|FLO4|flocculin FLO1	chrI	ORF
S000000085	YAR053W				chrI	ORF
S000000086	YAR060C				chrI	ORF
S000000089	YAR064W				chrI	ORF
S000000091	YAR068W				chrI	ORF
S000000092	YAR069C				chrI	ORF
S000000093	YAR070C				chrI	ORF
S000000094	YAR071W	PHO11	PHOsphate metabolism	acid phosphatase PHO11	chrI	ORF
S000000095	YAR073W	IMD1	IMP Dehydrogenase	IMP dehydrogenase	chrI	ORF
S000000097	YBL001C	ECM15	ExtraCellular Mutant		chrII	ORF
S000000098	YBL002W	HTB2	Histone h Two B	histone H2B	chrII	ORF
S000000099	YBL003C	HTA2	Histone h Two A	H2A2|histone H2A	chrII	ORF
S000000100	YBL004W	UTP20	U Three Protein		chrII	ORF
S000000101	YBL005W	PDR3	Pleiotropic Drug Resistance	AMY2|drug-responsive transcription factor PDR3|TPE2	chrII	ORF
S000000102	YBL006C	LDB7	Low Dye Binding	RSC14	chrII	ORF
S000000103	YBL007C	SLA1	Synthetic Lethal with ABP1	cytoskeletal protein-binding protein SLA1	chrII	ORF
S000000104	YBL008W	HIR1	HIstone Regulation		chrII	ORF
S000000105	YBL009W	ALK2		protein kinase ALK2	chrII	ORF
S000000106	YBL010C	LAA2	Large Adaptin Accessory		chrII	ORF
S000000107	YBL011W	SCT1	Suppressor of Choline-Transport mutants	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|GAT2	chrII	ORF
S000000108	YBL012C				chrII	ORF
S000000109	YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	methionyl-tRNA formyltransferase	chrII	ORF
S000000110	YBL014C	RRN6	Regulation of RNA polymerase I		chrII	ORF
S000000111	YBL015W	ACH1	Acetyl CoA Hydrolase	acetyl-CoA hydrolase	chrII	ORF
S000000112	YBL016W	FUS3	cell FUSion	DAC2|mitogen-activated serine/threonine-protein kinase FUS3	chrII	ORF
S000000113	YBL017C	PEP1	carboxyPEPtidase Y-deficient	type I sorting receptor|VPS10|VPT1	chrII	ORF
S000000114	YBL018C	POP8	Processing Of Precursor RNAs	ribonuclease P	chrII	ORF
S000000115	YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	DNA-(apurinic or apyrimidinic site) lyase APN2|ETH1	chrII	ORF
S000000116	YBL020W	RFT1	Requiring Fifty-Three	glycolipid translocation protein	chrII	ORF
S000000117	YBL021C	HAP3	Heme Activator Protein		chrII	ORF
S000000118	YBL022C	PIM1	Proteolysis In Mitochondria	ATP-dependent Lon protease PIM1|LON1	chrII	ORF
S000000119	YBL023C	MCM2	MiniChromosome Maintenance	MCM DNA helicase complex subunit MCM2	chrII	ORF
S000000120	YBL024W	NCL1	NuCLear protein	TRM4|tRNA (cytosine-C5-)-methyltransferase	chrII	ORF
S000000121	YBL025W	RRN10	Regulation of RNA polymerase I		chrII	ORF
S000000122	YBL026W	LSM2	Like SM	Sm-like protein LSM2|SMX5|SNP3	chrII	ORF
S000000123	YBL027W	RPL19B	Ribosomal Protein of the Large subunit	eL19|L19B|L19e|L23B|ribosomal 60S subunit protein L19B|rpl5L|YL14	chrII	ORF
S000000124	YBL028C				chrII	ORF
S000000125	YBL029W				chrII	ORF
S000000126	YBL030C	PET9	PETite	AAC2|ADP/ATP carrier protein PET9|ANC2|OP1	chrII	ORF
S000000127	YBL031W	SHE1	Sensitivity to High Expression		chrII	ORF
S000000128	YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene	KHD1	chrII	ORF
S000000129	YBL033C	RIB1	RIBoflavin biosynthesis	GTP cyclohydrolase II	chrII	ORF
S000000130	YBL034C	STU1	Suppressor of TUbulin		chrII	ORF
S000000131	YBL035C	POL12	POLymerase	DNA-directed DNA polymerase alpha subunit POL12	chrII	ORF
S000000132	YBL036C				chrII	ORF
S000000133	YBL037W	APL3	clathrin Adaptor Protein complex Large chain		chrII	ORF
S000000134	YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL47|RML16|uL16m|YmL47	chrII	ORF
S000000135	YBL039C	URA7	URAcil requiring	CTP synthase URA7	chrII	ORF
S000000136	YBL040C	ERD2	Endoplasmic reticulum Retention Defective		chrII	ORF
S000000137	YBL041W	PRE7	PRoteinase yscE	proteasome core particle subunit beta 6|PRS3	chrII	ORF
S000000138	YBL042C	FUI1	5-FlUorourIdine resistance	uridine permease	chrII	ORF
S000000139	YBL043W	ECM13	ExtraCellular Mutant		chrII	ORF
S000000140	YBL044W				chrII	ORF
S000000141	YBL045C	COR1	CORe protein of QH2 cytochrome c reductase	QCR1|ubiquinol--cytochrome-c reductase subunit COR1	chrII	ORF
S000000142	YBL046W	PSY4	Platinum SensitivitY	HSM6	chrII	ORF
S000000143	YBL047C	EDE1	EH Domains and Endocytosis	BUD15	chrII	ORF
S000000144	YBL048W	RRT1	Regulator of rDNA Transcription		chrII	ORF
S000000145	YBL049W	MOH1			chrII	ORF
S000000146	YBL050W	SEC17	SECretory	RNS3	chrII	ORF
S000000147	YBL051C	PIN4	Psi+ INducibility	MDT1	chrII	ORF
S000000148	YBL052C	SAS3	Something About Silencing	histone acetyltransferase|KAT6	chrII	ORF
S000000149	YBL053W				chrII	ORF
S000000150	YBL054W	TOD6	Twin Of Dot6p	PBF1	chrII	ORF
S000000151	YBL055C			3'-5'-exodeoxyribonuclease|Tat-D	chrII	ORF
S000000152	YBL056W	PTC3	Phosphatase Two C	type 2C protein phosphatase PTC3	chrII	ORF
S000000153	YBL057C	PTH2	Peptidyl-Trna Hydrolase	aminoacyl-tRNA hydrolase	chrII	ORF
