Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	Chromosome/scaffold name	Saccharomyces cerevisiae paralogue gene stable ID	Saccharomyces cerevisiae paralogue associated gene name	Saccharomyces cerevisiae paralogue protein or transcript ID	Saccharomyces cerevisiae paralogue chromosome/scaffold name
YBR024W	YBR024W_mRNA	YBR024W	SCO2	II	YBR037C	SCO1	YBR037C	II
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YJR158W	HXT16	YJR158W	X
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YEL069C	HXT13	YEL069C	V
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YNR072W	HXT17	YNR072W	XIV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YLR081W	GAL2	YLR081W	XII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YJL219W	HXT9	YJL219W	X
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDR343C	HXT6	YDR343C	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YMR011W	HXT2	YMR011W	XIII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YHR092C	HXT4	YHR092C	VIII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YFL011W	HXT10	YFL011W	VI
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDR342C	HXT7	YDR342C	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YHR096C	HXT5	YHR096C	VIII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YOL156W	HXT11	YOL156W	XV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YJL214W	HXT8	YJL214W	X
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YHR094C	HXT1	YHR094C	VIII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDR345C	HXT3	YDR345C	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDR497C	ITR1	YDR497C	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YOL103W	ITR2	YOL103W	XV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDR387C	CIN10	YDR387C	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YBR241C		YBR241C	II
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YGL104C	VPS73	YGL104C	VII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YJR160C	MPH3	YJR160C	X
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDL247W	MPH2	YDL247W	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YBR298C	MAL31	YBR298C	II
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YGR289C	MAL11	YGR289C	VII
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDL194W	SNF3	YDL194W	IV
YDL245C	YDL245C_mRNA	YDL245C	HXT15	IV	YDL138W	RGT2	YDL138W	IV
YBR232C	YBR232C_mRNA	YBR232C		II				
YDR320W-B	YDR320W-B_mRNA	YDR320W-B		IV				
YBR021W	YBR021W_mRNA	YBR021W	FUR4	II	YIR028W	DAL4	YIR028W	IX
YBR021W	YBR021W_mRNA	YBR021W	FUR4	II	YBL042C	FUI1	YBL042C	II
YBR021W	YBR021W_mRNA	YBR021W	FUR4	II	YOR192C	THI72	YOR192C	XV
YBR021W	YBR021W_mRNA	YBR021W	FUR4	II	YLR237W	THI7	YLR237W	XII
YBR021W	YBR021W_mRNA	YBR021W	FUR4	II	YOR071C	NRT1	YOR071C	XV
YGR014W	YGR014W_mRNA	YGR014W	MSB2	VII				
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)O1		tT(AGU)O1_tRNA	XV
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)J		tT(AGU)J_tRNA	X
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)H		tT(AGU)H_tRNA	VIII
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)I2		tT(AGU)I2_tRNA	IX
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)N2		tT(AGU)N2_tRNA	XIV
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)I1		tT(AGU)I1_tRNA	IX
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)D		tT(AGU)D_tRNA	IV
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)C		tT(AGU)C_tRNA	III
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)B		tT(AGU)B_tRNA	II
tT(AGU)O2	tT(AGU)O2_tRNA			XV	tT(AGU)N1		tT(AGU)N1_tRNA	XIV
YKL119C	YKL119C_mRNA	YKL119C	VPH2	XI				
YPR031W	YPR031W_mRNA	YPR031W	NTO1	XVI				
YKL066W	YKL066W_mRNA	YKL066W		XI				
YJL076W	YJL076W_mRNA	YJL076W	NET1	X	YKR010C	TOF2	YKR010C	XI
YPL174C	YPL174C_mRNA	YPL174C	NIP100	XVI				
YIL003W	YIL003W_mRNA	YIL003W	CFD1	IX	YGL091C	NBP35	YGL091C	VII
YML066C	YML066C_mRNA	YML066C	SMA2	XIII				
YMR129W	YMR129W_mRNA	YMR129W	POM152	XIII				
YBR140C	YBR140C_mRNA	YBR140C	IRA1	II	YOL081W	IRA2	YOL081W	XV
YBR140C	YBR140C_mRNA	YBR140C	IRA1	II	YKL092C	BUD2	YKL092C	XI
YGR242W	YGR242W_mRNA	YGR242W		VII				
YKR047W	YKR047W_mRNA	YKR047W		XI				
YKL029C	YKL029C_mRNA	YKL029C	MAE1	XI				
YLR154C-G	YLR154C-G_mRNA	YLR154C-G		XII				
YPL028W	YPL028W_mRNA	YPL028W	ERG10	XVI	YIL160C	POT1	YIL160C	IX
YDL235C	YDL235C_mRNA	YDL235C	YPD1	IV				
tR(ACG)E	tR(ACG)E_tRNA			V	tR(ACG)L		tR(ACG)L_tRNA	XII
tR(ACG)E	tR(ACG)E_tRNA			V	tR(ACG)O		tR(ACG)O_tRNA	XV
tR(ACG)E	tR(ACG)E_tRNA			V	tR(ACG)D		tR(ACG)D_tRNA	IV
tR(ACG)E	tR(ACG)E_tRNA			V	tR(ACG)K		tR(ACG)K_tRNA	XI
YER091C	YER091C_mRNA	YER091C	MET6	V				
YMR121C	YMR121C_mRNA	YMR121C	RPL15B	XIII	YLR029C	RPL15A	YLR029C	XII
YDR356W	YDR356W_mRNA	YDR356W	SPC110	IV				
YDR337W	YDR337W_mRNA	YDR337W	MRPS28	IV				
YKL008C	YKL008C_mRNA	YKL008C	LAC1	XI	YHL003C	LAG1	YHL003C	VIII
YER055C	YER055C_mRNA	YER055C	HIS1	V				
YFR004W	YFR004W_mRNA	YFR004W	RPN11	VI	YDL216C	RRI1	YDL216C	IV
YDR108W	YDR108W_mRNA	YDR108W	TRS85	IV				
YDL200C	YDL200C_mRNA	YDL200C	MGT1	IV				
YJR134C	YJR134C_mRNA	YJR134C	SGM1	X				
Q0158	Q0158_rRNA		21S_RRNA	Mito				
YMR135C	YMR135C_mRNA	YMR135C	GID8	XIII				
YGR012W	YGR012W_mRNA	YGR012W	MCY1	VII				
YNL244C	YNL244C_mRNA	YNL244C	SUI1	XIV				
YCR024C-A	YCR024C-A_mRNA	YCR024C-A	PMP1	III	YEL017C-A	PMP2	YEL017C-A	V
YOR027W	YOR027W_mRNA	YOR027W	STI1	XV	YOR057W	SGT1	YOR057W	XV
YOR027W	YOR027W_mRNA	YOR027W	STI1	XV	YNL121C	TOM70	YNL121C	XIV
YOR027W	YOR027W_mRNA	YOR027W	STI1	XV	YHR117W	TOM71	YHR117W	VIII
