chrom	chromStart	chromEnd	ENSG_ID	geneName	pLI	zscore_mis	zscore_syn	loeuf	missense	synonymous
chr1	925730	944574	ENSG00000187634	SAMD11	0.0	-3.44	-6.92	1.28	Missense exp: 362.0, obs: 546, Z = -3.44, o/e = 1.51 (1.41 - 1.62)	Synonymous exp: 159.0, obs: 270, Z = -6.92, o/e = 1.70 (1.54 - 1.88)
chr1	944202	959256	ENSG00000188976	NOC2L	0.0	-1.9	-6.71	1.33	Missense exp: 462.0, obs: 577, Z = -1.90, o/e = 1.25 (1.17 - 1.34)	Synonymous exp: 199.4, obs: 320, Z = -6.71, o/e = 1.60 (1.46 - 1.76)
chr1	960583	965719	ENSG00000187961	KLHL17	0.0	-0.57	-8.81	1.26	Missense exp: 433.6, obs: 467, Z = -0.57, o/e = 1.08 (1.00 - 1.16)	Synonymous exp: 201.1, obs: 360, Z = -8.81, o/e = 1.79 (1.64 - 1.94)
chr1	966481	975865	ENSG00000187583	PLEKHN1	0.0	-1.8	-2.47	1.12	Missense exp: 381.2, obs: 480, Z = -1.80, o/e = 1.26 (1.17 - 1.36)	Synonymous exp: 174.5, obs: 216, Z = -2.47, o/e = 1.24 (1.11 - 1.39)
chr1	975197	982093	ENSG00000187642	C1orf170	0.0	-0.56	-2.39	1.69	Missense exp: 391.1, obs: 422, Z = -0.56, o/e = 1.08 (1.00 - 1.17)	Synonymous exp: 174.8, obs: 215, Z = -2.39, o/e = 1.23 (1.10 - 1.38)
chr1	998961	1000172	ENSG00000188290	HES4	0.0	-0.47	-1.37	1.95	Missense exp: 90.4, obs: 103, Z = -0.47, o/e = 1.14 (0.97 - 1.34)	Synonymous exp: 41.8, obs: 53, Z = -1.37, o/e = 1.27 (1.02 - 1.59)
chr1	1020119	1056116	ENSG00000188157	AGRN	0.0	0.23	-3.96	0.43	Missense exp: 1326.1, obs: 1303, Z = 0.23, o/e = 0.98 (0.94 - 1.03)	Synonymous exp: 603.4, obs: 727, Z = -3.96, o/e = 1.20 (1.13 - 1.28)
chr1	1070966	1074306	ENSG00000237330	RNF223	0.03	-0.55	-0.81	1.87	Missense exp: 107.8, obs: 124, Z = -0.55, o/e = 1.15 (0.99 - 1.33)	Synonymous exp: 50.6, obs: 58, Z = -0.81, o/e = 1.15 (0.93 - 1.43)
chr1	1081822	1116089	ENSG00000131591	C1orf159	0.0	0.53	-0.59	1.3	Missense exp: 137.5, obs: 120, Z = 0.53, o/e = 0.87 (0.75 - 1.02)	Synonymous exp: 65.9, obs: 72, Z = -0.59, o/e = 1.09 (0.90 - 1.33)
chr1	1173879	1197936	ENSG00000162571	TTLL10	0.0	0.33	0.45	1.13	Missense exp: 405.7, obs: 387, Z = 0.33, o/e = 0.95 (0.88 - 1.04)	Synonymous exp: 174.6, obs: 167, Z = 0.45, o/e = 0.96 (0.84 - 1.09)
chr1	1203507	1206571	ENSG00000186891	TNFRSF18	0.0	-0.57	-0.87	1.88	Missense exp: 155.1, obs: 175, Z = -0.57, o/e = 1.13 (1.00 - 1.28)	Synonymous exp: 67.9, obs: 77, Z = -0.87, o/e = 1.13 (0.94 - 1.37)
chr1	1211339	1214153	ENSG00000186827	TNFRSF4	0.0	0.62	0.16	1.32	Missense exp: 164.5, obs: 142, Z = 0.62, o/e = 0.86 (0.75 - 0.99)	Synonymous exp: 74.8, obs: 73, Z = 0.16, o/e = 0.98 (0.81 - 1.19)
chr1	1216930	1232001	ENSG00000078808	SDF4	0.01	0.55	-0.46	0.76	Missense exp: 251.7, obs: 227, Z = 0.55, o/e = 0.90 (0.81 - 1.01)	Synonymous exp: 114.7, obs: 121, Z = -0.46, o/e = 1.05 (0.91 - 1.23)
chr1	1232236	1235041	ENSG00000176022	B3GALT6	0.02	1.26	0.41	1.43	Missense exp: 134.1, obs: 93, Z = 1.26, o/e = 0.69 (0.59 - 0.82)	Synonymous exp: 65.2, obs: 61, Z = 0.41, o/e = 0.93 (0.76 - 1.16)
