GENE_id	mapped_id	ENSG	chr	GeneStart	mu	pLI	loeuf	zscore_mis	zscore_syn	mmdg	cmdg	non_mdg	partition	any_disease	target
ENSG00000000003	0	ENSG00000000003	X	100627108.0						0.0	0.0	0.0	8	0.0	0
ENSG00000000005	1	ENSG00000000005	X	100584936.0						0.0	0.0	0.0	7	0.0	0
ENSG00000000419	2	ENSG00000000419	20	50934867.0	4.6002e-07	1.934e-05	1.005	0.33652	-0.60652	1.0	0.0	0.0	8	1.0	1
ENSG00000000457	3	ENSG00000000457	1	169849631.0	8.3489e-07	0.0018893	0.666	1.446	1.0769	0.0	0.0	0.0	9	0.0	0
ENSG00000000460	4	ENSG00000000460	1	169662007.0	4.0449e-07	4.2215e-10	0.885	1.4063	0.69609	0.0	0.0	0.0	5	0.0	0
ENSG00000000938	5	ENSG00000000938	1	27612064.0	6.963e-07	0.49503	0.556	2.6968	-0.021723	0.0	0.0	0.0	6	0.0	0
ENSG00000000971	6	ENSG00000000971	1	196651754.0	9.342e-07	0.99998	0.43	1.4706	-0.57543	1.0	1.0	0.0	6	2.0	1
ENSG00000001036	7	ENSG00000001036	6	143494812.0	6.5498e-07	4.351e-10	1.015	0.99621	-0.078367	0.0	0.0	0.0	10	0.0	0
ENSG00000001084	8	ENSG00000001084	6	53497341.0	7.01e-07	0.99953	0.404	2.1807	-0.18886	1.0	1.0	0.0	10	2.0	1
ENSG00000001167	9	ENSG00000001167	6	41072974.0	5.6016e-07	0.0066146	0.68	3.7991	0.46832	0.0	0.0	0.0	8	0.0	0
ENSG00000001460	10	ENSG00000001460	1	24356999.0	6.8753e-07	3.8079e-07	1.089	0.561	0.54616	0.0	0.0	0.0	8	0.0	0
ENSG00000001461	11	ENSG00000001461	1	24415802.0	6.1241e-07	6.2902e-10	1.092	1.5111	0.94945	0.0	0.0	0.0	9	0.0	0
ENSG00000001497	12	ENSG00000001497	X	65438549.0						1.0	0.0	0.0	7	1.0	1
ENSG00000001561	13	ENSG00000001561	6	46129989.0	3.5775e-07	0.0081339	0.835	1.2833	0.76826	0.0	0.0	0.0	7	0.0	0
ENSG00000001617	14	ENSG00000001617	3	50155045.0	1.7966e-06	0.99999	0.416	2.9824	1.8727	0.0	0.0	0.0	5	0.0	0
ENSG00000001626	15	ENSG00000001626	7	117287120.0	1.227e-06	2.3757e-39	1.152	-1.0736	0.86225	1.0	1.0	0.0	10	2.0	1
ENSG00000001629	16	ENSG00000001629	7	92245974.0	8.5382e-07	0.34002	0.533	3.2537	1.3524	0.0	0.0	0.0	3	0.0	0
ENSG00000001630	17	ENSG00000001630	7	92084987.0	4.5317e-07	1.8135e-10	1.156	1.9862	1.3839	0.0	0.0	0.0	1	0.0	0
ENSG00000001631	18	ENSG00000001631	7	92197498.0	6.2189e-07	0.11437	0.69	0.89279	0.34603	1.0	0.0	0.0	1	1.0	1
ENSG00000002016	19	ENSG00000002016	12	911736.0	7.0448e-07	3.846e-16	1.185	1.0717	0.80436	0.0	0.0	0.0	9	0.0	0
ENSG00000002330	20	ENSG00000002330	11	64269830.0	1.6802e-07	1.8032e-08	1.889	-2.4552	-2.1806	0.0	0.0	0.0	8	0.0	0
ENSG00000002549	21	ENSG00000002549	4	17577198.0	3.8911e-07	1.0935e-07	0.973	0.67852	-0.77143	0.0	0.0	0.0	6	0.0	0
ENSG00000002586	22	ENSG00000002586	X	2691187.0						0.0	0.0	0.0	10	0.0	0
ENSG00000002587	23	ENSG00000002587	4	11393150.0	2.243e-07	0.41244	0.709	0.093919	-0.32213	0.0	0.0	0.0	5	0.0	0
ENSG00000002726	24	ENSG00000002726	7	150824627.0	8.0466e-07	2.4456e-20	1.253	1.3093	0.86582	0.0	0.0	0.0	5	0.0	0
ENSG00000002745	25	ENSG00000002745	7	121325367.0	5.3244e-07	0.00075285	0.804	0.25549	0.31378	0.0	0.0	0.0	2	0.0	0
ENSG00000002746	26	ENSG00000002746	7	43112629.0	1.7267e-06	1.0	0.423	3.0511	0.00054384	0.0	0.0	0.0	1	0.0	0
ENSG00000002822	27	ENSG00000002822	7	1815793.0	7.8351e-07	4.3527e-33	1.228	-0.61726	-2.2872	1.0	0.0	0.0	7	1.0	1
ENSG00000002834	28	ENSG00000002834	17	38869859.0	3.609e-07	0.99912	0.411	2.4924	0.44841	0.0	0.0	0.0	5	0.0	0
ENSG00000002919	29	ENSG00000002919	17	48103357.0	8.8092e-07	0.00076256	0.884	0.78728	0.67249	0.0	0.0	0.0	7	0.0	0
ENSG00000002933	30	ENSG00000002933	7	150800403.0	5.2042e-07	6.097e-06	1.088	0.74292	-0.34071	0.0	0.0	0.0	4	0.0	0
ENSG00000003056	31	ENSG00000003056	12	8940361.0	7.417e-07	0.00056972	0.841	1.1733	0.93156	0.0	0.0	0.0	3	0.0	0
ENSG00000003096	32	ENSG00000003096	X	117897813.0						0.0	0.0	0.0	1	0.0	0
