HGNC_ID	FUSIL	pLI_gnomAD	oe_lof	oe_lof_lower	oe_lof_upper	oe_mis	oe_mis_lower	oe_mis_upper	oe_syn	oe_syn_lower	oe_syn_upper	shet	RVIS	DDD_HI_percentage
HGNC:10001	VN	0.000484	0.705	0.385	1.38	0.946	0.795	1.13	0.698	0.508	0.975	0.018100916	0.210580976	31.16
HGNC:10007	DL	0.307	0.236	0.115	0.54	0.762	0.679	0.855	1.07	0.922	1.23	0.002018864	-0.233145111	47.03
HGNC:10009	VP	3e-05	0.559	0.344	0.948	1.03	0.922	1.15	1.05	0.89	1.25	-	2.295256402	82.4
HGNC:10021	VP	1.17e-14	0.96	0.685	1.37	1	0.911	1.1	0.94	0.807	1.1	-	0.360124696	91.79
HGNC:10024	VN	1.34e-05	0.625	0.385	1.06	1.06	0.938	1.19	0.972	0.801	1.19	0.008114239	-0.019436647	33.98
HGNC:1004	DL	0.082	0.315	0.154	0.722	0.787	0.675	0.921	0.977	0.787	1.22	0.036631662	-0.147235633	40.51
HGNC:10044	VP	0.0252	1.03	0.371	1.88	0.96	0.807	1.15	0.826	0.617	1.12	0.014266487	0.378662833	19.78
HGNC:10057	VP	0.000435	0.495	0.29	0.894	0.798	0.699	0.912	1.07	0.888	1.3	0.017832956	-0.394007681	25.9
HGNC:10062	CL	1.6e-10	0.448	0.329	0.618	0.62	0.567	0.679	0.927	0.819	1.05	0.026432985	-1.116444218	35.39
HGNC:10065	VP	0.994	0.106	0.047	0.274	0.39	0.336	0.453	0.801	0.676	0.952	0.364161195	-0.43812283	43.92
HGNC:10075	CL	0.000299	0.419	0.257	0.71	0.879	0.785	0.985	0.997	0.83	1.2	0.029203424	0.352103104	26.45
HGNC:1020	CL	9.91e-14	0.928	0.657	1.34	0.701	0.618	0.797	1.07	0.905	1.26	0.003847361	-0.258988946	13.17
HGNC:10251	SV	1	0.0953	0.055	0.172	0.488	0.445	0.536	0.902	0.804	1.01	0.083656041	-1.723458024	3.82
HGNC:10258	SV	0.745	0.199	0.112	0.374	0.583	0.516	0.659	0.972	0.833	1.14	0.028966767	-0.836228963	0.78
HGNC:10289	CL	-	-	-	-	-	-	-	-	-	-	-	-	11.56
HGNC:10297	DL	6e-04	0.471	0.276	0.85	0.775	0.676	0.89	1.08	0.896	1.31	0.019198369	-0.071928652	18.96
HGNC:103	DL	0.995	0.105	0.047	0.271	0.427	0.381	0.478	1.09	0.982	1.22	0.17075694	-1.302457767	21.34
HGNC:1034	DL	0.912	0.158	0.077	0.361	0.658	0.579	0.749	0.721	0.593	0.881	0.2747925	-0.597827492	4.14
HGNC:1037	VP	-	-	-	-	-	-	-	-	-	-	0.03577609	-0.640334582	56.27
HGNC:10378	CL	0.00325	0.576	0.3	1.21	0.942	0.806	1.1	1.1	0.893	1.36	0.017179864	-0.511917891	48.9
HGNC:10379	CL	1.7e-12	0.929	0.647	1.36	1.02	0.912	1.15	1.14	0.95	1.37	0.009099576	0.174130891	17.15
HGNC:10382	CL	-	-	-	-	-	-	-	-	-	-	-	-	29.64
HGNC:10385	CL	-	-	-	-	-	-	-	-	-	-	-	-	12.73
HGNC:10414	VP	0.832	0	0	0.515	0.357	0.259	0.499	1.49	1.13	1.89	0.102713709	-0.172370312	45.57
HGNC:10430	VP	0.00216	0.316	0.201	0.512	0.605	0.548	0.668	0.955	0.844	1.08	0.033894791	-0.6103003	11.98
HGNC:10446	VP	0.305	0.245	0.099	0.772	0.789	0.686	0.909	0.863	0.703	1.07	0.026333299	-0.271201597	62.19
HGNC:10452	CL	0.696	0.188	0.091	0.429	0.575	0.501	0.66	1.11	0.947	1.31	0.115060324	-0.417983019	21.05
HGNC:1046	VP	0.995	0	0	0.19	0.857	0.765	0.96	0.985	0.84	1.16	0.306698375	-0.382954749	19.13
HGNC:10467	VN	0.985	0.116	0.052	0.3	0.844	0.773	0.923	1	0.887	1.13	0.119311524	0.425539323	8.43
HGNC:10473	DL	0.964	0.0681	0.023	0.323	0.524	0.457	0.6	1.02	0.883	1.18	0.049920041	-0.636239693	9.86
HGNC:10483	DL	2.3e-28	0.377	0.319	0.447	0.883	0.854	0.911	1.06	1.02	1.11	0.017998793	-5.485585202	15.43
HGNC:10484	DL	1	0.198	0.157	0.251	0.663	0.636	0.689	0.985	0.934	1.04	0.045114458	-6.532381562	14.03
HGNC:1049	VP	9.15e-05	0.351	0.234	0.54	0.718	0.661	0.781	0.933	0.832	1.05	0.037101305	-1.575487282	57.71
HGNC:10496	SV	0.17	0.437	0.149	1.68	0.866	0.674	1.12	0.787	0.532	1.2	0.028395324	0.423136244	59.52
HGNC:10500	VP	0.0465	0.648	0.258	1.72	0.824	0.642	1.07	0.864	0.596	1.28	0.011475155	-0.059810877	6.82
HGNC:10519	VP	1.3e-23	0.435	0.356	0.534	0.921	0.888	0.955	1.04	0.986	1.1	0.020686089	-4.617086638	35.26
HGNC:10521	VP	-	-	-	-	-	-	-	-	-	-	-	-	39.85
HGNC:1053	VP	5.07e-11	0.672	0.476	0.968	0.82	0.739	0.911	1	0.86	1.17	0.013004124	-0.188226539	72.5
HGNC:10530	CL	0.0927	0.344	0.156	0.89	0.787	0.656	0.948	1.36	1.09	1.71	0.002214926	-0.159802845	13.79
HGNC:10535	DL	0.00224	0.508	0.277	1	0.768	0.642	0.921	0.886	0.676	1.17	0.00922865	-0.323695207	5.85
HGNC:10537	CL	-	-	-	-	-	-	-	-	-	-	-	-	8.51
HGNC:10538	CL	0.97	0.174	0.101	0.313	0.699	0.639	0.765	1.02	0.915	1.14	0.102197327	-0.982215865	58.09
HGNC:10549	DL	0.000432	0.402	0.247	0.682	1.04	0.941	1.15	0.988	0.839	1.17	0.051571909	-0.256314679	78.38
HGNC:10569	VP	5.39e-16	1.41	0.982	1.88	1.31	1.19	1.45	1.33	1.14	1.55	-	0.811883218	94.94
HGNC:10591	DL	0.551	0.22	0.148	0.335	0.861	0.816	0.908	1	0.928	1.08	0.035605502	0.073360481	27.91
HGNC:10592	VP	6.07e-07	1.12	0.669	1.8	1.02	0.882	1.17	1.01	0.821	1.25	0.004881278	0.057740266	57.36
HGNC:10600	DL	5.03e-08	0.539	0.368	0.809	0.962	0.882	1.05	1.12	0.986	1.27	0.019369352	0.152923695	57.21
HGNC:10603	DL	0.000235	0.548	0.32	0.988	1.02	0.905	1.16	1.07	0.88	1.3	0.033818621	-0.271556027	61.83
HGNC:10621	SV	0.00762	0.934	0.407	1.83	0.836	0.668	1.05	1.44	1.1	1.85	0.007763889	0.16798151	85.74
HGNC:10625	VP	0.00985	0.822	0.365	1.77	1.07	0.861	1.34	1.01	0.697	1.5	-	0.304871623	95.34
HGNC:1063	VP	0.000168	0.889	0.483	1.67	0.871	0.745	1.02	0.83	0.654	1.06	0.001348326	0.667685092	43.58
HGNC:10647	VP	0.885	0.0882	0.03	0.418	0.858	0.766	0.962	1.23	1.07	1.41	0.215936809	0.537296008	80.89
HGNC:10659	VP	0.344	0.232	0.094	0.731	0.862	0.729	1.02	1.09	0.861	1.4	0.075942419	0.023874144	3.34
HGNC:1066	SV	0.938	0.114	0.046	0.359	0.467	0.39	0.56	1.06	0.864	1.31	0.121116135	-0.573145172	1.63
HGNC:10661	VP	0.00467	0.527	0.274	1.11	1.04	0.894	1.21	0.987	0.784	1.25	0.007884633	0.010951968	48.15
