ENSG_ID	GeneName	chrom	pLI	loeuf	zscore_mis	zscore_syn	Haploinsufficiency_Score	Haploinsufficiency_Description	Triplosensitivity_Score	Triplosensitivity_Description	FUSIL	DDD_HI_percentage	known_developmental_disorder_genes	RVIS	omim_class	DOMINO	pHI	SCoNeS	f_parameter	shet_det	shet_drift	GDI	ncRVIS	ncGERP
ENSG00000121410	A1BG	chr19	0.0	1.21	-0.09	-0.28	NA	NA	NA	NA	NA	NA	0.0	-0.542658577	Background	0.16086837	NA	0.91	0.582341494	0.039562	0.028927	79.3774	0.708586446929465	-1.041152917
ENSG00000148584	A1CF	chr10	0.0	0.88	0.99	-0.31	NA	NA	NA	NA	NA	NA	0.0	-1.097457635	Background	0.09535741	0.296	0.928	0.337164253	0.020096	0.013627	314.85493	-0.1300514111158	2.137678169
ENSG00000175899	A2M	chr12	0.0	0.54	1.87	1.65	NA	NA	NA	NA	NA	NA	0.0	-0.14090366	Background	0.21364217	0.404	0.788	0.556142225	0.012169	0.009977	1920.76046	0.0355220406910859	0.702367496
ENSG00000166535	A2ML1	chr12	0.0	0.95	0.33	-0.07	NA	NA	NA	NA	NA	NA	0.0	1.653169207	Background	0.09225611	0.124	0.92	0.600594682	NA	NA	7253.67873	-0.135767739906426	-0.090234029
ENSG00000184389	A3GALT2	chr1	0.0	1.76	0.05	0.13	NA	NA	NA	NA	NA	NA	0.0	NA	Background	0.20253049	0.189	0.724	NA	0.009274	0.007549	272.82681	0.0915100743393009	-0.382438669
ENSG00000128274	A4GALT	chr22	0.0	1.65	-0.19	-0.99	30.0	Gene associated with autosomal recessive phenotype	0.0	No evidence available	NA	NA	0.0	-0.391687717	Background	0.065206	NA	0.986	0.478902253	0.173571	0.116455	67.38232	0.0661522231491109	-1.262234696
ENSG00000118017	A4GNT	chr3	0.17	0.74	0.24	-0.23	NA	NA	NA	NA	NA	NA	0.0	0.614476031	Background	0.08156696	NA	0.814	0.455132066	NA	NA	233.66	0.5267008824189	0.056605825
ENSG00000094914	AAAS	chr12	0.0	0.99	-0.36	0.24	NA	NA	NA	NA	NA	NA	1.0	-0.063102666	hOMIM AR	0.09808184	0.71	0.992	0.450272265	0.004465	0.004235	101.66522	-0.354865457901752	0.291369843
ENSG00000081760	AACS	chr12	0.0	1.09	0.2	0.67	NA	NA	NA	NA	NA	NA	0.0	1.241306108	Background	0.06313874	0.299	0.854	0.360343622	0.006415	0.00522	163.63033	0.0629795492256082	-1.305720052
ENSG00000114771	AADAC	chr3	0.0	0.94	0.36	-0.6	NA	NA	NA	NA	NA	NA	0.0	0.36502553	Background	0.05328516	0.065	0.924	0.553455117	0.014927	0.010246	98.58087	0.274777875349238	-0.754237836
ENSG00000197953	AADACL2	chr3	0.0	1.65	0.21	-0.23	NA	NA	NA	NA	NA	NA	0.0	0.374917873	Background	0.09785898	0.138	0.922	0.619152284	0.008473	0.006729	62.30478	-0.274950284097385	-1.740347582
ENSG00000188984	AADACL3	chr1	0.01	1.7	-0.34	-0.97	NA	NA	NA	NA	NA	NA	0.0	0.627041701	Background	0.12281772	NA	0.716	0.650236988	0.014358	0.011142	843.85416	0.602786455015122	-0.951526904
ENSG00000204518	AADACL4	chr1	0.0	1.68	-0.94	0.53	NA	NA	NA	NA	NA	NA	0.0	0.343369476	Background	0.06714242	0.128	0.778	0.740109558	0.013021	0.009494	51.31876	0.958286789912581	-1.383896571
ENSG00000109576	AADAT	chr4	0.15	0.51	2.35	0.58	NA	NA	NA	NA	NA	NA	0.0	-0.644618872	Background	0.13967348	0.14	0.716	0.370070251	0.045618	0.033747	7.64128	NA	-0.374683905
ENSG00000103591	AAGAB	chr15	0.0	1.04	-0.88	-0.55	3.0	Sufficient evidence for dosage pathogenicity	0.0	No evidence available	NA	NA	0.0	0.169942185	Background	0.07137722	NA	0.992	0.471828715	0.010716	0.007886	3541.69204	0.196795345762861	-0.73364779
ENSG00000115977	AAK1	chr2	1.0	0.13	2.61	0.33	NA	NA	NA	NA	SV	27.81	0.0	-0.574562469	Background	0.62493789	0.177	0.324	0.404301914	0.130714	0.117865	3996.40242	0.00595989773517195	1.216495883
ENSG00000087884	AAMDC	chr11	0.0	1.84	-0.13	-0.71	NA	NA	NA	NA	NA	NA	0.0	0.128055495	Background	0.11186198	0.158	0.908	0.50530923	0.00808	0.007534	1406.35943	-0.21670224510832	0.333906579
ENSG00000127837	AAMP	chr2	0.76	0.41	1.75	0.22	NA	NA	NA	NA	NA	NA	0.0	-0.139212716	Background	0.17958619	0.556	0.736	0.419423076	0.043736	0.032905	343.13644	0.0284520346378407	1.778054301
ENSG00000129673	AANAT	chr17	0.0	1.23	0.09	-0.51	NA	NA	NA	NA	NA	NA	0.0	0.862777813	Background	0.06823685	0.312	0.968	0.505625764	0.043161	0.029205	61.04852	-0.881999585410566	-0.1363507
ENSG00000131043	AAR2	chr20	0.0	1.35	0.86	0.79	NA	NA	NA	NA	NA	NA	0.0	0.668483917	Background	0.96581957	0.177	0.6	0.48784725	0.007415	0.006812	42.10699	-0.626447067163316	-0.237418519
ENSG00000205002	AARD	chr8	0.33	1.1	-0.31	-0.13	NA	NA	NA	NA	VN	89.86	0.0	0.099536972	Background	0.14085459	NA	0.776	0.678403136	0.004239	0.005906	1834.49894	-0.355449513751946	-0.364449946
ENSG00000090861	AARS1	chr16	0.0	0.62	0.05	-0.96	0.0	No evidence available	0.0	No evidence available	NA	NA	1.0	-1.433959439	OMIM	0.18273845	0.459	0.92	0.31698956	0.023329	0.016665	1228.44466	NA	-0.308862221
ENSG00000124608	AARS2	chr6	0.0	0.83	0.07	1.88	30.0	Gene associated with autosomal recessive phenotype	NA	NA	CL	53.33	0.0	0.274312489	Background	0.08969032	0.24	0.868	0.667459419	0.016944	0.012843	592.72341	-0.0473175470253131	-0.363066944
ENSG00000266967	AARSD1	chr17	0.0	1.11	0.01	-0.16	NA	NA	NA	NA	NA	NA	0.0	0.900473379	Background	0.09859203	0.255	0.928	NA	0.006607	0.005736	NA	0.105682960363503	-0.864441588
ENSG00000157426	AASDH	chr4	0.0	0.83	0.26	0.91	NA	NA	NA	NA	NA	NA	0.0	0.518059834	Background	0.08184341	0.147	0.968	0.588046383	0.026578	0.0197	3473.29703	-0.347845401761965	-1.055792537
ENSG00000149313	AASDHPPT	chr11	0.03	0.72	0.46	0.23	NA	NA	NA	NA	DL	11.81	0.0	-0.262823271	Background	0.12918615	0.351	0.76	0.348112015	0.040836	0.029682	15.0964	-0.525706187885656	0.098708404
ENSG00000008311	AASS	chr7	0.0	0.81	0.88	0.41	30.0	Gene associated with autosomal recessive phenotype	NA	NA	VP	45.6	1.0	-0.736501977	OMIM	0.06263393	NA	0.976	0.510984556	0.009839	0.007507	152.77734	0.0335055204123848	0.180195717
ENSG00000275700	AATF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	-0.001877797	Background	0.09743735	0.761	0.962	0.491888405	0.006693	0.005383	319.73191	-0.424942457073482	-0.911652188
ENSG00000181409	AATK	chr17	0.21	0.4	0.54	-3.2	NA	NA	NA	NA	NA	NA	0.0	1.310921817	Background	0.20503215	NA	0.62	0.374098656	NA	NA	2421.6539	0.778319141941313	-0.196239346
ENSG00000183044	ABAT	chr16	0.01	0.57	0.57	-0.64	30.0	Gene associated with autosomal recessive phenotype	NA	NA	DL	41.04	1.0	-0.609944221	hOMIM AR	0.24534186	NA	0.916	0.4785159	0.021932	0.014598	64.12197	3.77008011512957	-0.0671709
ENSG00000165029	ABCA1	chr9	0.0	0.49	1.75	-1.39	NA	NA	NA	NA	DL	9.43	0.0	-2.52862631	hOMIM AD	0.67534324	0.709	0.268	0.426616097	0.024246	0.017458	3823.81697	0.0827742148181675	1.488735348
ENSG00000154263	ABCA10	chr17	0.0	0.97	-0.06	0.22	NA	NA	NA	NA	NA	NA	0.0	1.817438942	Background	0.12451754	NA	0.77	0.574426034	NA	NA	4332.05343	1.18694508525919	0.083734372
ENSG00000144452	ABCA12	chr2	0.0	0.48	1.63	-0.56	NA	NA	NA	NA	NA	NA	0.0	-1.537492131	hOMIM AR	0.09720603	0.255	0.96	0.489454301	0.017613	0.01525	2992.15591	-0.411531268719125	1.130745737
ENSG00000179869	ABCA13	chr7	0.0	1.03	-1.52	-1.0	NA	NA	NA	NA	VP	63.52	0.0	4.446972353	Background	0.1384552	NA	0.64	0.670255133	NA	NA	6635.50663	0.250688926421324	-0.897678753
ENSG00000107331	ABCA2	chr9	1.0	0.17	4.91	-3.36	NA	NA	NA	NA	NA	NA	0.0	-1.494823187	IEND	0.32532903	0.464	0.712	0.327471122	0.293236	0.258261	470.40443	NA	NA
ENSG00000167972	ABCA3	chr16	0.0	0.5	0.32	-2.75	NA	NA	NA	NA	DL	64.64	0.0	0.43623385	OMIM	0.07335052	0.239	0.828	0.424720352	0.023963	0.018093	188.10316	-0.510883197233007	-0.780931638
ENSG00000198691	ABCA4	chr1	0.0	0.91	-0.66	-1.57	NA	NA	NA	NA	VP	18.63	0.0	2.664998103	OMIM	0.06677509	0.185	0.804	0.597797648	0.006983	0.004528	3827.03692	0.105967938508222	-0.269287268
ENSG00000154265	ABCA5	chr17	0.0	0.84	0.37	-0.2	NA	NA	NA	NA	NA	NA	0.0	0.461133515	Background	0.05790556	0.255	0.988	0.60459118	0.014438	0.012609	3056.32686	-0.393171028920705	-0.115560252
ENSG00000154262	ABCA6	chr17	0.0	0.86	-0.49	0.58	NA	NA	NA	NA	VP	84.32	0.0	0.965085193	Background	0.05420214	0.107	0.972	0.588555987	0.00871	0.006131	4392.04454	0.048873920471566	0.339594592
ENSG00000064687	ABCA7	chr19	0.0	1.07	-1.47	-1.07	NA	NA	NA	NA	VP	82.8	0.0	3.515120051	Background	0.12999878	0.124	0.648	0.667587029	NA	NA	5319.06822	0.32850123295125	-1.172889211
ENSG00000141338	ABCA8	chr17	0.0	1.19	-0.19	0.67	NA	NA	NA	NA	VP	81.9	0.0	2.841794794	Background	0.13899146	0.124	0.638	0.622441886	NA	NA	2117.48181	-0.722805264090482	-0.321402404
ENSG00000154258	ABCA9	chr17	0.0	1.07	0.75	0.48	NA	NA	NA	NA	VP	75.69	0.0	0.434942302	Background	0.1464759	NA	0.658	0.508215469	NA	NA	5531.81651	0.808506325052709	-0.239887513
ENSG00000085563	ABCB1	chr7	0.0	0.47	1.44	-0.19	NA	NA	NA	NA	NA	NA	0.0	-1.008359057	Background	0.45749421	NA	0.806	0.528589413	0.026141	0.021119	402.73587	0.568818820031031	0.161434542
ENSG00000135776	ABCB10	chr1	0.0	0.94	1.35	-0.5	NA	NA	NA	NA	NA	NA	0.0	-0.419046711	Background	0.11232817	0.352	0.952	0.50133389	0.03	0.022328	272.32476	-0.0171921860038469	-0.080994538
ENSG00000073734	ABCB11	NA	NA	NA	NA	NA	30.0	Gene associated with autosomal recessive phenotype	0.0	No evidence available	SV	30.88	1.0	0.04429313	hOMIM AR	0.05731395	0.21	0.97	0.382963189	0.01383	0.01089	532.30214	0.00723911691595073	0.089928734
ENSG00000005471	ABCB4	chr7	0.0	0.51	1.97	0.83	NA	NA	NA	NA	NA	NA	0.0	-0.975284493	Background	0.17630208	0.163	0.816	0.450660771	0.026269	0.02116	3911.66291	NA	0.271718434
ENSG00000004846	ABCB5	chr7	0.0	1.13	-1.98	-2.13	NA	NA	NA	NA	NA	NA	0.0	3.617864265	Background	0.10543102	0.237	0.744	0.629419989	NA	NA	9731.34505	0.685624882217356	0.190038107
ENSG00000115657	ABCB6	chr2	0.0	0.98	-0.14	-1.55	NA	NA	NA	NA	VP	47.04	0.0	0.783113511	Essential	0.24770928	0.225	0.752	0.658405274	0.005519	0.004448	401.03419	-0.33696254505828	0.073142306
ENSG00000131269	ABCB7	chrX	1.0	0.11	2.9	-0.1	NA	NA	NA	NA	NA	NA	1.0	0.614722284	hOMIM X-linked	NA	0.503	0.418	0.537582807	NA	NA	588.79282	-0.0270473825677656	0.11758615
ENSG00000197150	ABCB8	chr7	0.0	1.08	0.3	1.05	NA	NA	NA	NA	NA	NA	0.0	0.176543186	Background	0.05007557	0.284	0.978	0.564503342	0.012597	0.009359	1119.5958	-0.816779122634284	-0.817227784
ENSG00000150967	ABCB9	chr12	0.0	0.65	1.01	0.49	NA	NA	NA	NA	VP	33.98	0.0	-0.942645175	Background	0.06598957	0.39	0.778	0.373704501	0.024922	0.017347	136.30539	NA	-0.653635652
ENSG00000103222	ABCC1	chr16	0.0	0.4	1.77	-1.93	NA	NA	NA	NA	NA	NA	0.0	-1.651511617	Background	0.21697949	0.343	0.588	0.226821001	0.022961	0.01688	348.41061	0.868420024824673	-0.414619526
ENSG00000124574	ABCC10	chr6	0.0	0.94	0.65	0.04	NA	NA	NA	NA	NA	NA	0.0	1.10282557	Background	0.17043826	NA	0.816	0.719550755	0.006893	0.004743	2154.96315	-0.284957157706296	-0.42874418
ENSG00000121270	ABCC11	chr16	0.0	1.24	-0.2	-0.3	NA	NA	NA	NA	NA	NA	0.0	1.959424117	Background	0.18272901	0.349	0.592	0.647773761	NA	NA	7334.53101	0.0745559262798705	-0.469255381
ENSG00000140798	ABCC12	chr16	0.0	1.27	-0.09	0.42	NA	NA	NA	NA	NA	NA	0.0	1.343927965	Background	0.21032175	0.179	0.74	0.570793759	NA	NA	2688.47723	0.389708822280615	-0.195163573
ENSG00000023839	ABCC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	VP	38.2	0.0	0.444489687	hOMIM AR	0.07722459	0.19	0.974	NA	NA	NA	1270.67962	0.0661986705976138	-0.283217804
ENSG00000108846	ABCC3	chr17	0.0	0.9	0.63	1.59	NA	NA	NA	NA	NA	NA	0.0	0.747981528	Background	0.07344517	0.212	0.964	0.552455855	NA	NA	889.61134	-0.373435578736335	-0.296243906
ENSG00000125257	ABCC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	-0.253465948	Background	0.10235928	0.273	0.91	0.441854785	0.024352	0.0187	1639.72468	2.14607877954813	-0.125951192
ENSG00000114770	ABCC5	chr3	0.0	0.39	3.6	1.09	NA	NA	NA	NA	VP	30.31	0.0	-2.614392764	Background	0.80862924	0.458	0.462	0.24164415	0.040242	0.044446	80.81009	-0.409741797003558	1.572540043
ENSG00000091262	ABCC6	chr16	0.0	1.03	-1.09	-1.09	NA	NA	NA	NA	NA	NA	1.0	0.937396252	hOMIM AR	0.07530115	NA	0.97	0.619908182	NA	NA	2678.20897	1.25585067039963	-0.654229347
ENSG00000006071	ABCC8	chr11	0.0	0.77	1.91	-0.85	30.0	Gene associated with autosomal recessive phenotype	0.0	No evidence available	NA	NA	0.0	-1.277600525	Background	0.38953932	0.244	0.528	0.305306233	0.010073	0.007612	407.27264	NA	0.201683135
ENSG00000069431	ABCC9	chr12	0.0	0.48	4.97	0.01	NA	NA	NA	NA	NA	NA	1.0	-2.368978342	hOMIM AD	0.28622059	0.201	0.264	0.327766722	NA	NA	117.11773	-1.24237845913399	-0.141020643
ENSG00000101986	ABCD1	chrX	1.0	0.15	1.87	0.44	3.0	Sufficient evidence for dosage pathogenicity	0.0	No evidence available	NA	NA	1.0	-0.572807123	hOMIM X-linked	NA	NA	0.12	0.315408739	0.216891	0.185187	23.16292	NA	NA
ENSG00000173208	ABCD2	chr12	0.0	0.72	2.35	0.45	NA	NA	NA	NA	NA	NA	0.0	-0.773840993	Background	0.17306385	0.172	0.902	0.471648904	0.010516	0.007756	167.46052	-0.633528003689042	0.403542912
ENSG00000117528	ABCD3	chr1	0.01	0.43	2.54	0.82	NA	NA	NA	NA	VP	15.03	0.0	-0.421720848	hOMIM AR	0.54800507	0.685	0.834	0.31037136	0.055254	0.054079	34.49232	-0.252524131795059	1.635966014
ENSG00000119688	ABCD4	chr14	0.0	0.9	0.17	-0.73	NA	NA	NA	NA	NA	NA	1.0	0.710018367	IEND	0.0683037	0.233	0.99	0.579525198	0.008431	0.006252	5678.49686	1.81267911187174	-0.333542303
ENSG00000164163	ABCE1	chr4	0.97	0.31	4.1	0.93	NA	NA	NA	NA	CL	1.23	0.0	-0.785701076	Background	0.93132192	0.614	0.08	0.270253735	0.369479	0.333416	5.45332	-1.8338194018142	0.653430834
ENSG00000204574	ABCF1	chr6	0.0	0.61	2.51	1.2	NA	NA	NA	NA	NA	NA	0.0	-0.309873847	Background	0.1047791	0.249	0.968	0.400244621	0.010477	0.007736	246.17443	-0.609302495334331	-0.229748562
ENSG00000033050	ABCF2	chr7	0.01	0.48	2.48	0.02	NA	NA	NA	NA	NA	NA	0.0	-1.593040391	Background	0.62401946	0.467	0.602	0.341933569	0.362717	0.321069	229.77785	-0.419196163977232	1.674333441
ENSG00000161204	ABCF3	chr3	0.0	0.57	0.65	-0.01	NA	NA	NA	NA	NA	NA	0.0	0.161301617	Background	0.11405253	0.639	0.88	0.581024152	0.008782	0.006597	319.46185	-0.310260976674678	0.335456351
ENSG00000160179	ABCG1	chr21	0.11	0.46	2.13	0.42	NA	NA	NA	NA	NA	NA	0.0	-1.365565258	Background	0.14886972	0.177	0.828	0.318763015	0.037613	0.029856	376.48662	NA	-0.861740049
ENSG00000118777	ABCG2	chr4	0.0	1.55	-0.88	0.69	NA	NA	NA	NA	VP	32.14	0.0	0.303892719	Background	0.17145902	0.144	0.834	0.597309635	0.002406	0.003727	1369.17181	-1.12173439095007	-0.965837493
ENSG00000172350	ABCG4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	-0.927848495	Background	0.35048533	0.294	0.952	0.322986385	0.007829	0.006356	196.06202	-0.181637473831618	1.131661565
ENSG00000138075	ABCG5	NA	NA	NA	NA	NA	30.0	Gene associated with autosomal recessive phenotype	NA	NA	NA	NA	0.0	1.265637565	hOMIM AR	0.17473984	0.183	0.882	0.65602681	0.005058	0.004662	1949.89203	1.02098384634566	0.019315384
ENSG00000143921	ABCG8	chr2	0.0	1.36	-2.49	-2.2	30.0	Gene associated with autosomal recessive phenotype	0.0	No evidence available	NA	NA	0.0	0.7690288	hOMIM AR	0.07693983	0.229	0.966	0.560348732	NA	NA	6759.48039	-0.0500374094726582	0.015834061
ENSG00000143994	ABHD1	chr2	0.0	1.91	-0.95	0.06	NA	NA	NA	NA	NA	NA	0.0	-0.012929395	Background	0.16149633	0.066	0.552	1.040794457	0.002443	0.004103	1251.23626	-0.251069432007785	-1.023647424
ENSG00000144827	ABHD10	chr3	0.0	1.06	0.23	-0.25	NA	NA	NA	NA	NA	NA	0.0	0.379463178	Background	0.0755683	0.142	0.986	0.575047887	0.015074	0.010606	53.5992	0.653577157116314	-0.074615433
ENSG00000106077	ABHD11	chr7	0.0	0.94	0.57	-0.14	NA	NA	NA	NA	NA	NA	0.0	-0.389818464	Background	0.07834256	0.125	0.968	0.414435726	0.006671	0.006116	137.53386	0.148517676337947	-0.421135617
ENSG00000100997	ABHD12	chr20	0.0	0.76	0.19	-0.07	30.0	Gene associated with autosomal recessive phenotype	0.0	No evidence available	NA	NA	0.0	0.112905829	OMIM	0.0497405	0.146	0.978	0.540543752	0.01524	0.010231	209.86971	NA	-1.157353333
ENSG00000131969	ABHD12B	chr14	0.0	1.58	-0.17	0.04	NA	NA	NA	NA	NA	NA	0.0	0.802705527	Background	0.11998514	0.115	0.868	0.521823043	NA	NA	4353.14362	1.16761486792227	-0.557905741
ENSG00000139826	ABHD13	chr13	0.89	0.41	1.47	-0.18	NA	NA	NA	NA	NA	NA	0.0	0.210224177	Background	0.36712895	0.199	0.732	0.360621577	0.064275	0.042267	14.35294	-0.320395029505836	0.857797972
ENSG00000248487	ABHD14A	chr3	0.0	1.4	0.33	1.9	NA	NA	NA	NA	VP	66.94	0.0	0.706096927	Background	0.08318001	0.104	0.948	0.664315092	0.018237	0.012315	569.75218	-0.256442983980819	-0.294958049
ENSG00000114779	ABHD14B	chr3	0.0	1.7	0.85	2.07	NA	NA	NA	NA	NA	NA	0.0	0.394258734	Background	0.15775309	0.328	0.738	0.498150359	0.005217	0.006432	140.56801	-1.21462468023127	-0.284959353
ENSG00000168792	ABHD15	chr17	0.0	1.49	-0.1	-1.24	NA	NA	NA	NA	NA	NA	0.0	0.129660847	Background	0.12590006	NA	0.93	0.468216049	0.006217	0.00559	257.51927	-1.24971835728478	0.038609942
ENSG00000204427	ABHD16A	chr6	0.47	0.38	2.48	1.02	NA	NA	NA	NA	SV	34.5	1.0	-0.277614539	Background	0.48287595	0.345	0.798	0.360068102	0.025868	0.020208	331.75038	-0.3763222411102	0.641825149
ENSG00000183260	ABHD16B	chr20	0.0	1.19	0.51	1.4	NA	NA	NA	NA	NA	NA	0.0	0.20300544	Background	0.12794996	0.273	0.974	0.508227326	NA	NA	749.26079	0.367598698405099	-0.665276134
ENSG00000129968	ABHD17A	chr19	0.02	0.8	1.5	0.07	NA	NA	NA	NA	VP	64.37	0.0	0.331160088	Background	0.16639778	NA	0.836	0.460515849	NA	NA	106.70342	NA	NA
ENSG00000107362	ABHD17B	chr9	0.25	0.65	2.62	-1.74	NA	NA	NA	NA	NA	NA	0.0	-0.336616929	Background	0.32255087	0.572	0.804	0.331398741	0.22446	0.170967	13.7874	NA	0.584933333
ENSG00000136379	ABHD17C	chr15	0.96	0.3	3.14	0.34	NA	NA	NA	NA	NA	NA	0.0	-0.185292204	Background	0.45296749	NA	0.486	0.301103998	0.171476	0.125868	3.26444	0.101230356674666	1.03037656
ENSG00000164074	ABHD18	chr4	0.0	1.28	0.99	1.21	NA	NA	NA	NA	NA	NA	0.0	NA	Background	0.05745799	NA	0.934	0.526626456	0.002946	0.003937	1010.00719	-0.476275652186467	-0.448981778
ENSG00000140526	ABHD2	chr15	0.68	0.43	2.23	-0.53	NA	NA	NA	NA	NA	NA	0.0	-0.465481	Background	0.52270501	0.29	0.722	0.387755081	0.089534	0.072389	42.87383	-1.48263016826928	0.522734131
ENSG00000158201	ABHD3	chr18	0.0	1.18	0.57	0.76	NA	NA	NA	NA	NA	NA	0.0	0.064602921	Background	0.1108289	0.627	0.95	0.431926373	0.007192	0.006237	60.41464	-0.422612707897149	1.531111336
ENSG00000100439	ABHD4	chr14	0.0	1.07	0.7	-0.83	NA	NA	NA	NA	NA	NA	0.0	-0.123616572	Background	0.10837071	0.407	0.922	0.277760452	0.013181	0.00951	27.3891	-0.540011875962597	0.945868764
ENSG00000011198	ABHD5	chr3	0.0	0.98	0.47	-1.98	NA	NA	NA	NA	VP	36.17	1.0	0.091606196	OMIM	0.12060532	0.188	0.99	0.603557718	0.01247	0.00914	83.57795	0.638812891874928	-0.113488549
ENSG00000163686	ABHD6	chr3	0.0	0.98	0.76	0.42	NA	NA	NA	NA	NA	NA	0.0	-0.647647298	Background	0.09456199	0.115	0.994	0.449906879	0.016005	0.011231	26.61177	NA	-0.097155197
ENSG00000127220	ABHD8	chr19	0.97	0.31	1.8	0.98	NA	NA	NA	NA	VP	79.18	0.0	-0.749155719	Background	0.19201228	0.352	0.73	0.301154688	0.241871	0.19774	863.32946	-0.20264674734146	-0.157787598
ENSG00000136754	ABI1	chr10	0.64	0.42	2.09	-0.2	NA	NA	NA	NA	NA	NA	0.0	-0.679195064	Background	0.96196751	0.557	0.204	0.485181101	0.036411	0.028038	53.85297	-0.274920683691838	2.669205846
ENSG00000138443	ABI2	chr2	0.43	0.46	2.25	1.02	NA	NA	NA	NA	VP	9.37	0.0	-0.771617662	Background	0.79278715	0.555	0.408	0.323044708	0.052246	0.043163	21.65188	-2.08334513945069	0.663990319
ENSG00000108798	ABI3	chr17	0.0	1.04	0.4	1.16	NA	NA	NA	NA	NA	NA	0.0	0.359678673	Background	0.07536748	0.379	0.986	0.550338874	0.075174	0.055113	1174.11094	-0.453438053189752	0.377852452
ENSG00000154175	ABI3BP	chr3	0.0	0.56	0.83	1.32	NA	NA	NA	NA	SV	56.79	0.0	0.658330847	Background	0.05450759	0.278	0.968	0.593350961	0.008855	0.006178	4357.86877	0.594964625196497	1.79806443
ENSG00000119328	ABITRAM	chr9	0.0	1.47	0.09	0.22	NA	NA	NA	NA	NA	NA	0.0	0.367255272	Background	0.06857608	0.146	0.968	0.563346861	0.002736	0.004547	82.24853	-0.46703452750147	-0.773059994
ENSG00000097007	ABL1	chr9	1.0	0.18	2.56	-0.47	NA	NA	NA	NA	NA	NA	1.0	-0.701844524	Background	0.9995335	0.992	0.132	0.356924237	0.376387	0.341605	164.30123	-0.268741411683117	0.978985691
ENSG00000143322	ABL2	chr1	0.0	0.58	1.69	-0.81	NA	NA	NA	NA	NA	NA	0.0	-1.521053949	Background	0.95739769	0.871	0.678	0.415209998	0.005929	0.004493	182.10584	-0.540162478397578	0.287510634
ENSG00000099204	ABLIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	-0.053921801	Background	0.26165974	0.392	0.688	0.490943579	0.045687	0.044571	426.69086	0.0641885200953456	0.968565371
